RB Global Price to Free Cash Flow Ratio Historical Data,RB Global Price to Free Cash Flow Ratio Historical Data,RB Global Price to Free Cash Flow Ratio Historical Data,RB Global Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,80.54,,19.0
2024-06-30,76.1,$4.24,17.95
2024-03-31,75.91,$3.17,23.98
2023-12-31,66.4,$2.07,32.03
2023-09-30,61.78,$2.20,28.03
2023-06-30,59.03,$2.06,28.65
2023-03-31,55.1,$1.56,35.36
2022-12-31,55.25,$5.33,10.36
2022-09-30,59.4,$3.69,16.11
2022-06-30,61.62,$4.13,14.92
2022-03-31,55.67,$4.28,12.99
2021-12-31,57.48,$2.78,20.68
2021-09-30,57.7,$2.58,22.4
2021-06-30,55.25,$2.31,23.9
2021-03-31,54.37,$3.96,13.74
2020-12-31,64.34,$2.36,27.3
2020-09-30,54.63,$2.61,20.91
2020-06-30,37.53,$3.45,10.89
2020-03-31,31.25,$2.34,13.35
2019-12-31,39.09,$2.96,13.19
2019-09-30,36.14,$3.29,10.98
2019-06-30,29.94,$1.73,17.28
2019-03-31,30.48,$1.29,23.68
2018-12-31,29.18,$1.26,23.13
2018-09-30,32.06,$1.23,26.11
2018-06-30,30.13,$1.21,24.96
2018-03-31,27.65,$0.67,41.19
2017-12-31,26.16,$1.31,19.95
2017-09-30,27.46,$0.99,27.67
2017-06-30,24.81,$1.24,19.97
2017-03-31,28.24,$1.25,22.55
2016-12-31,29.03,$1.54,18.87
2016-09-30,29.81,$1.79,16.63
2016-06-30,28.57,$1.89,15.11
2016-03-31,22.79,$2.31,9.87
2015-12-31,20.15,$1.78,11.34
2015-09-30,21.5,$2.22,9.7
2015-06-30,23.06,$1.84,12.56
2015-03-31,20.5,$1.54,13.29
2014-12-31,21.98,$1.47,14.92
2014-09-30,18.2,$1.38,13.2
2014-06-30,19.92,$1.20,16.59
2014-03-31,19.39,$1.08,17.87
2013-12-31,18.32,$1.55,11.86
2013-09-30,16.02,$0.54,29.7
2013-06-30,15.15,$1.26,12.02
2013-03-31,17.01,$1.77,9.59
2012-12-31,16.29,$0.76,21.32
2012-09-30,14.9,$0.65,22.88
2012-06-30,16.37,$0.18,89.64
2012-03-31,18.2,$0.66,27.45
2011-12-31,16.84,$0.69,24.23
2011-09-30,15.32,$0.29,53.63
2011-06-30,20.76,$0.50,41.76
2011-03-31,21.17,$-0.43,0.0
2010-12-31,17.26,$-0.13,0.0
2010-09-30,15.47,$-0.59,0.0
2010-06-30,13.49,$-0.72,0.0
2010-03-31,15.86,$-0.40,0.0
2009-12-31,16.44,$-0.14,0.0
