Tilray Brands Price to Free Cash Flow Ratio Historical Data,Tilray Brands Price to Free Cash Flow Ratio Historical Data,Tilray Brands Price to Free Cash Flow Ratio Historical Data,Tilray Brands Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,1.57,,0.0
2024-08-31,1.71,$-0.09,0.0
2024-05-31,1.8,$-0.07,0.0
2024-02-29,1.73,$-0.05,0.0
2023-11-30,1.81,$-0.05,0.0
2023-08-31,2.96,$0.04,83.15
2023-05-31,1.67,$-0.01,0.0
2023-02-28,2.83,$-0.13,0.0
2022-11-30,3.87,$-0.23,0.0
2022-08-31,3.8,$-0.27,0.0
2022-05-31,4.49,$-0.41,0.0
2022-02-28,6.1,$-0.55,0.0
2021-11-30,10.12,$-0.51,0.0
2021-08-31,13.69,$-0.20,0.0
2021-05-31,16.67,$0.81,20.57
2021-03-31,22.73,$0.20,114.11
2020-12-31,8.26,$0.00,0.0
2020-11-30,9.04,$-1.25,0.0
2020-09-30,4.85,$-2.70,0.0
2020-08-31,6.71,$0.32,20.75
2020-06-30,7.11,$-0.20,0.0
2020-03-31,6.88,$-0.67,0.0
2019-12-31,17.13,$-0.36,0.0
2019-09-30,24.74,$-1.88,0.0
2019-06-30,46.56,$-1.46,0.0
2019-03-31,65.52,$-0.36,0.0
