Xometry Price to Free Cash Flow Ratio Historical Data,Xometry Price to Free Cash Flow Ratio Historical Data,Xometry Price to Free Cash Flow Ratio Historical Data,Xometry Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,20.37,,0.0
2024-06-30,11.56,$-0.96,0.0
2024-03-31,16.89,$-0.91,0.0
2023-12-31,35.91,$-1.00,0.0
2023-09-30,16.98,$-1.29,0.0
2023-06-30,21.18,$-1.42,0.0
2023-03-31,14.97,$-1.47,0.0
2022-12-31,32.23,$-1.61,0.0
2022-09-30,56.79,$-3.05,0.0
2022-06-30,33.93,$-0.90,0.0
2022-03-31,36.75,$-3.41,0.0
