Sysco Price to Free Cash Flow Ratio Historical Data,Sysco Price to Free Cash Flow Ratio Historical Data,Sysco Price to Free Cash Flow Ratio Historical Data,Sysco Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,77.97,,17.54
2024-06-30,70.87,$4.44,15.95
2024-03-31,80.07,$3.95,20.26
2023-12-31,71.65,$4.77,15.03
2023-09-30,64.21,$3.98,16.13
2023-06-30,71.65,$4.15,17.25
2023-03-31,74.11,$3.37,21.97
2022-12-31,72.89,$2.34,31.17
2022-09-30,66.97,$2.27,29.56
2022-06-30,80.23,$2.30,34.89
2022-03-31,76.89,$1.33,57.87
2021-12-31,73.11,$1.76,41.56
2021-09-30,73.07,$1.28,57.17
2021-06-30,71.5,$2.91,24.61
2021-03-31,72.41,$3.28,22.1
2020-12-31,67.5,$2.62,25.76
2020-09-30,56.15,$3.49,16.09
2020-06-30,48.92,$1.80,27.13
2020-03-31,40.4,$2.35,17.16
2019-12-31,75.33,$2.71,27.81
2019-09-30,69.58,$3.00,23.17
2019-06-30,61.64,$3.32,18.54
2019-03-31,57.85,$3.29,17.59
2018-12-31,53.95,$2.86,18.83
2018-09-30,62.76,$3.24,19.4
2018-06-30,58.2,$2.82,20.67
2018-03-31,50.8,$3.05,16.67
2017-12-31,51.15,$3.49,14.68
2017-09-30,45.17,$2.56,17.66
2017-06-30,41.86,$2.86,14.63
2017-03-31,42.9,$2.71,15.82
2016-12-31,45.48,$2.83,16.07
2016-09-30,40.0,$3.41,11.72
2016-06-30,41.41,$2.57,16.11
2016-03-31,37.9,$2.13,17.81
2015-12-31,32.78,$1.88,17.44
2015-09-30,31.16,$1.20,26.05
2015-06-30,28.64,$1.74,16.48
2015-03-31,29.69,$1.60,18.57
2014-12-31,30.99,$1.59,19.49
2014-09-30,29.18,$1.52,19.21
2014-06-30,28.57,$1.69,16.94
2014-03-31,27.34,$1.86,14.69
2013-12-31,27.32,$1.85,14.73
2013-09-30,23.69,$1.69,14.04
2013-06-30,25.22,$1.71,14.72
2013-03-31,25.75,$1.26,20.44
2012-12-31,22.98,$1.10,20.93
2012-09-30,22.5,$1.11,20.2
2012-06-30,21.26,$1.07,19.94
2012-03-31,21.1,$0.90,23.55
2011-12-31,20.54,$1.05,19.65
2011-09-30,17.95,$0.71,25.11
2011-06-30,21.61,$0.81,26.83
2011-03-31,19.04,$0.84,22.6
2010-12-31,19.85,$0.64,31.08
2010-09-30,19.25,$0.78,24.64
2010-06-30,19.12,$0.53,36.32
2010-03-31,19.57,$0.84,23.29
2009-12-31,18.38,$1.74,10.55
