Hilton Grand Vacations Price to Free Cash Flow Ratio Historical Data,Hilton Grand Vacations Price to Free Cash Flow Ratio Historical Data,Hilton Grand Vacations Price to Free Cash Flow Ratio Historical Data,Hilton Grand Vacations Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,38.76,,34.83
2024-06-30,40.43,$1.11,36.33
2024-03-31,47.21,$1.81,26.06
2023-12-31,40.18,$2.12,18.92
2023-09-30,40.7,$1.94,20.93
2023-06-30,45.44,$3.12,14.58
2023-03-31,44.43,$3.47,12.81
2022-12-31,38.54,$5.43,7.09
2022-09-30,32.89,$7.05,4.66
2022-06-30,35.73,$4.43,8.07
2022-03-31,52.01,$2.70,19.24
2021-12-31,52.11,$1.28,40.84
2021-09-30,47.57,$-0.09,0.0
2021-06-30,41.39,$0.61,67.42
2021-03-31,37.49,$0.71,52.65
2020-12-31,31.35,$0.56,55.52
2020-09-30,20.98,$0.46,45.13
2020-06-30,19.55,$1.29,15.14
2020-03-31,15.77,$1.40,11.24
2019-12-31,34.39,$0.92,37.33
2019-09-30,32.0,$1.48,21.62
2019-06-30,31.82,$-0.10,0.0
2019-03-31,30.85,$-2.29,0.0
2018-12-31,26.39,$-2.27,0.0
2018-09-30,33.1,$-2.07,0.0
2018-06-30,34.7,$-0.15,0.0
2018-03-31,43.02,$1.90,22.66
2017-12-31,41.95,$3.09,13.58
