Navigator Holdings Price to Free Cash Flow Ratio Historical Data,Navigator Holdings Price to Free Cash Flow Ratio Historical Data,Navigator Holdings Price to Free Cash Flow Ratio Historical Data,Navigator Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,16.05,,5.37
2024-06-30,17.41,$2.99,5.82
2024-03-31,15.25,$2.07,7.37
2023-12-31,14.46,$0.05,311.61
2023-09-30,14.63,$-0.65,0.0
2023-06-30,12.84,$-0.85,0.0
2023-03-31,13.81,$-0.54,0.0
2022-12-31,11.8,$1.59,7.42
2022-09-30,11.3,$2.18,5.19
2022-06-30,11.14,$1.68,6.62
2022-03-31,12.05,$1.79,6.73
2021-12-31,8.75,$1.53,5.72
2021-09-30,8.78,$0.65,13.57
2021-06-30,10.8,$1.14,9.47
2021-03-31,8.78,$0.95,9.29
2020-12-31,10.8,$0.76,14.24
2020-09-30,8.25,$1.22,6.79
2020-06-30,6.34,$1.35,4.69
2020-03-31,4.4,$1.16,3.79
2019-12-31,13.29,$1.22,10.93
2019-09-30,10.54,$1.17,8.99
2019-03-31,10.85,$1.03,10.51
2018-12-31,9.27,$1.38,6.73
2018-09-30,11.94,$0.41,29.48
2018-06-30,12.48,$-0.09,0.0
2018-03-31,11.59,$1.22,9.53
2017-12-31,9.72,$-0.13,0.0
2017-09-30,10.95,$-0.51,0.0
2017-06-30,8.19,$-0.67,0.0
2016-12-31,9.18,$-2.76,0.0
2016-09-30,7.09,$-2.39,0.0
2016-06-30,11.35,$-0.83,0.0
2016-03-31,15.93,$-1.01,0.0
2015-12-31,13.47,$-1.05,0.0
2015-09-30,13.17,$-2.27,0.0
2015-06-30,18.69,$-2.25,0.0
2015-03-31,18.84,$-2.43,0.0
2014-12-31,20.78,$-1.81,0.0
2014-09-30,27.46,$-0.07,0.0
2014-06-30,28.99,$-2.87,0.0
2014-03-31,25.65,$-4.79,0.0
2013-12-31,26.58,$-7.01,0.0
2013-09-30,17.02,$-7.71,0.0
2013-06-30,15.54,$-3.24,0.0
2012-06-30,9.87,$-1.34,0.0
2012-03-31,9.54,$-2.33,0.0
2011-12-31,9.29,$-0.03,0.0
2012-12-31,11.51,$-3.58,0.0
2012-09-30,9.18,$-5.43,0.0
