Veritex Holdings Price to Free Cash Flow Ratio Historical Data,Veritex Holdings Price to Free Cash Flow Ratio Historical Data,Veritex Holdings Price to Free Cash Flow Ratio Historical Data,Veritex Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,28.03,,12.08
2024-06-30,20.9,$2.32,9.01
2024-03-31,20.11,$2.77,7.27
2023-12-31,22.61,$2.61,8.68
2023-09-30,17.25,$3.32,5.19
2023-06-30,17.07,$3.52,4.85
2023-03-31,17.16,$2.82,6.09
2022-12-31,26.2,$3.49,7.52
2022-09-30,24.66,$2.85,8.65
2022-06-30,26.97,$2.93,9.2
2022-03-31,34.96,$3.51,9.95
2021-12-31,36.25,$3.86,9.39
2021-09-30,35.7,$3.94,9.05
2021-06-30,31.93,$3.47,9.21
2021-03-31,29.36,$2.98,9.84
2020-12-31,22.88,$2.14,10.7
2020-09-30,15.05,$2.38,6.32
2020-06-30,15.5,$2.48,6.26
2020-03-31,12.1,$2.31,5.23
2019-12-31,25.08,$1.78,14.06
2019-09-30,20.79,$1.68,12.38
2019-06-30,22.24,$1.50,14.8
2019-03-31,20.75,$1.59,13.03
2018-12-31,18.23,$1.85,9.88
2018-09-30,24.1,$0.02,1515.82
2018-06-30,26.5,$-0.22,0.0
2018-03-31,23.6,$-1.14,0.0
2017-12-31,23.53,$-0.74,0.0
2017-09-30,22.99,$0.89,25.97
2017-06-30,22.46,$1.05,21.47
2017-03-31,23.98,$1.59,15.09
2016-12-31,22.78,$0.88,25.74
2016-09-30,14.83,$0.91,16.25
2016-06-30,13.66,$1.15,11.84
2016-03-31,12.39,$1.57,7.91
2015-12-31,13.82,$0.54,25.78
2015-09-30,13.32,$1.12,11.93
