Veeva Systems Price to Free Cash Flow Ratio Historical Data,Veeva Systems Price to Free Cash Flow Ratio Historical Data,Veeva Systems Price to Free Cash Flow Ratio Historical Data,Veeva Systems Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,217.02,,36.76
2024-07-31,191.93,$5.90,32.51
2024-04-30,198.56,$6.91,28.73
2024-01-31,207.41,$5.41,38.31
2023-10-31,192.71,$5.46,35.28
2023-07-31,204.22,$5.85,34.92
2023-04-30,179.08,$4.86,36.85
2023-01-31,170.55,$4.72,36.12
2022-10-31,167.94,$4.69,35.82
2022-07-31,223.58,$4.52,49.47
2022-04-30,181.95,$4.65,39.16
2022-01-31,236.54,$4.62,51.16
2021-10-31,317.01,$4.74,66.94
2021-07-31,332.71,$4.62,72.02
2021-04-30,282.45,$4.54,62.25
2021-01-31,276.44,$3.38,81.89
2020-10-31,270.05,$3.19,84.72
2020-07-31,264.57,$3.01,87.91
2020-04-30,190.8,$3.02,63.16
2020-01-31,146.61,$2.74,53.59
2019-10-31,141.83,$2.66,53.23
2019-07-31,165.9,$2.52,65.93
2019-04-30,139.87,$2.45,57.13
2019-01-31,109.06,$1.93,56.56
2018-10-31,91.35,$1.75,52.25
2018-07-31,75.63,$1.71,44.23
2018-04-30,70.13,$1.49,47.2
2018-01-31,62.86,$0.49,129.5
2017-10-31,60.94,$0.64,95.09
2017-07-31,63.76,$0.51,123.9
2017-01-31,42.33,$0.93,45.76
2016-10-31,38.85,$0.97,40.16
2016-07-31,37.99,$0.95,40.0
2016-04-30,27.51,$1.14,24.14
2016-01-31,24.1,$0.39,61.73
2015-10-31,25.37,$0.61,41.35
2015-04-30,26.55,$0.41,64.05
2015-01-31,28.76,$0.28,102.06
2014-10-31,29.78,$0.69,43.07
2014-07-31,23.8,$-0.28,0.0
2014-04-30,19.21,$0.69,27.71
2014-01-31,31.79,$0.86,36.88
