Gaming And Leisure Properties Price to Free Cash Flow Ratio Historical Data,Gaming And Leisure Properties Price to Free Cash Flow Ratio Historical Data,Gaming And Leisure Properties Price to Free Cash Flow Ratio Historical Data,Gaming And Leisure Properties Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,50.97,,52.8
2024-06-30,44.55,$0.97,46.16
2023-12-31,47.01,$3.63,12.95
2023-09-30,42.72,$5.84,7.31
2023-06-30,44.78,$5.89,7.61
2023-03-31,47.42,$6.42,7.39
2022-12-31,46.57,$6.41,7.26
2024-03-31,44.63,$4.18,10.68
2022-09-30,39.02,$3.97,9.83
2022-06-30,39.86,$3.44,11.59
2022-03-31,40.19,$3.40,11.82
2021-12-31,41.04,$3.34,12.28
2021-09-30,38.32,$3.12,12.27
2021-06-30,37.8,$2.58,14.64
2021-03-31,34.14,$1.89,18.1
2020-12-31,33.59,$1.93,17.39
2020-09-30,28.84,$2.17,13.27
2020-06-30,26.6,$2.84,9.36
2020-03-31,21.21,$3.36,6.32
2019-12-31,32.43,$3.46,9.36
2019-09-30,28.32,$3.33,8.5
2019-06-30,28.37,$3.31,8.58
2019-03-31,27.6,$3.21,8.61
2018-12-31,22.69,$3.04,7.46
2018-09-30,24.27,$2.94,8.25
2018-06-30,24.21,$2.85,8.5
2018-03-31,22.24,$2.79,7.98
2017-12-31,24.12,$2.80,8.61
2017-09-30,23.64,$3.16,7.48
2017-06-30,23.75,$3.09,7.69
2017-03-31,20.72,$1.17,17.65
2016-12-31,18.6,$0.72,25.82
2016-09-30,19.92,$0.69,28.77
2016-06-30,20.18,$0.32,62.35
2015-12-31,15.65,$2.54,6.16
2015-09-30,16.39,$2.36,6.96
2015-06-30,19.87,$2.37,8.4
2015-03-31,19.68,$2.12,9.28
2014-12-31,15.4,$1.45,10.63
2016-03-31,17.79,$1.67,10.62
2014-09-30,15.77,$1.36,11.6
