Tidewater Price to Free Cash Flow Ratio Historical Data,Tidewater Price to Free Cash Flow Ratio Historical Data,Tidewater Price to Free Cash Flow Ratio Historical Data,Tidewater Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,63.75,,16.5
2024-06-30,95.21,$3.86,24.64
2024-03-31,92.0,$2.55,36.1
2023-12-31,72.11,$1.67,43.07
2023-09-30,71.07,$1.82,39.0
2023-06-30,55.44,$1.83,30.24
2023-03-31,44.08,$1.34,32.84
2022-12-31,36.85,$0.84,43.76
2022-09-30,21.7,$-0.14,0.0
2022-06-30,21.09,$-0.69,0.0
2022-03-31,21.74,$0.29,76.07
2021-12-31,10.71,$0.98,10.96
2021-09-30,12.06,$0.93,12.98
2021-06-30,12.05,$1.51,7.96
2021-03-31,12.53,$1.57,7.98
2020-12-31,8.64,$0.68,12.73
2020-09-30,6.71,$0.83,8.06
2020-06-30,5.59,$-0.20,0.0
2020-03-31,7.08,$-1.14,0.0
2019-12-31,19.28,$-0.54,0.0
2019-09-30,15.11,$-0.70,0.0
2019-06-30,23.48,$-0.10,0.0
2019-03-31,23.19,$1.09,21.26
2018-12-31,19.13,$1.08,17.75
2018-09-30,31.19,$-0.39,0.0
2018-06-30,28.93,$0.10,301.04
2018-03-31,28.61,$-1.29,0.0
2017-12-31,24.4,$0.00,0.0
2017-09-30,29.08,$0.72,40.65
2017-06-30,23.23,$0.25,91.55
2017-03-31,37.1,$0.41,91.39
2016-12-31,110.0,$-0.96,0.0
2016-09-30,90.97,$0.17,527.04
2016-06-30,142.26,$0.53,268.06
2016-03-31,220.32,$-2.29,0.0
2015-12-31,224.52,$-0.87,0.0
2015-09-30,423.87,$0.50,854.41
2015-06-30,733.23,$0.11,6529.17
2014-12-31,1045.48,$3.29,317.33
2014-09-30,1259.03,$3.15,399.46
2014-06-30,1811.29,$1.72,1055.16
2014-03-31,1568.39,$-1.49,0.0
2013-12-31,1911.94,$-1.49,0.0
2013-09-30,1906.55,$-4.62,0.0
2013-06-30,1821.5,$-5.53,0.0
2013-03-31,1607.34,$-2.54,0.0
2012-12-31,1414.52,$-2.54,0.0
2012-09-30,1527.9,$-1.94,0.0
2012-06-30,1451.88,$-1.47,0.0
2012-03-31,1682.32,$-2.13,0.0
2011-12-31,1528.98,$-2.13,0.0
2011-09-30,1297.63,$-1.65,0.0
2011-06-30,1652.83,$-4.31,0.0
2011-03-31,1829.67,$-5.08,0.0
2010-12-31,1639.38,$-5.08,0.0
2010-09-30,1357.64,$-3.25,0.0
2010-06-30,1166.05,$-0.42,0.0
2010-03-31,1415.04,$2.54,557.3
2009-12-31,1427.59,$2.54,562.24
2009-09-30,1394.36,$1.50,931.19
