Fulton Financial Price to Free Cash Flow Ratio Historical Data,Fulton Financial Price to Free Cash Flow Ratio Historical Data,Fulton Financial Price to Free Cash Flow Ratio Historical Data,Fulton Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,18.43,,7.25
2024-06-30,16.65,$2.54,6.55
2024-03-31,15.58,$2.64,5.9
2023-12-31,15.97,$1.98,8.07
2023-09-30,11.63,$2.89,4.02
2023-06-30,11.29,$4.83,2.34
2023-03-31,12.92,$4.42,2.92
2022-12-31,15.57,$3.47,4.49
2022-09-30,14.44,$3.10,4.66
2022-06-30,13.08,$0.47,27.94
2022-03-31,14.89,$0.05,300.82
2021-12-31,15.09,$1.96,7.69
2021-09-30,13.39,$2.62,5.11
2021-06-30,13.7,$2.49,5.51
2021-03-31,14.66,$2.37,6.2
2020-12-31,10.86,$0.84,12.91
2020-09-30,7.75,$0.53,14.72
2020-06-30,8.75,$-0.06,0.0
2020-03-31,9.43,$0.09,101.16
2019-12-31,14.14,$0.56,25.25
2019-09-30,13.0,$0.43,30.3
2019-06-30,13.05,$1.15,11.35
2019-03-31,12.24,$1.29,9.49
2018-12-31,12.14,$1.46,8.34
2018-09-30,13.03,$1.51,8.63
2018-06-30,12.82,$1.66,7.7
2018-03-31,13.69,$1.40,9.75
2017-12-31,13.71,$1.45,9.47
2017-09-30,14.25,$1.57,9.07
2017-06-30,14.36,$1.28,11.24
2017-03-31,13.41,$1.41,9.52
2016-12-31,14.04,$1.18,11.86
2016-09-30,10.77,$0.89,12.15
2016-06-30,9.95,$0.83,12.06
2016-03-31,9.79,$0.86,11.33
2015-12-31,9.45,$0.85,11.11
2015-09-30,8.72,$0.95,9.16
2015-06-30,9.34,$0.91,10.28
2015-03-31,8.77,$0.84,10.46
2014-12-31,8.72,$0.99,8.77
2014-09-30,7.75,$1.07,7.24
2014-06-30,8.61,$1.18,7.29
2014-03-31,8.68,$1.42,6.13
2013-12-31,8.97,$1.43,6.29
2013-09-30,7.96,$1.52,5.24
2013-06-30,7.77,$1.41,5.5
2013-03-31,7.87,$1.32,5.97
2012-12-31,6.42,$1.28,5.01
2012-09-30,6.52,$1.38,4.74
2012-06-30,6.56,$1.31,5.02
2012-03-31,6.85,$1.31,5.23
2011-12-31,6.36,$1.73,3.67
2011-09-30,4.93,$1.67,2.95
2011-06-30,6.86,$1.61,4.26
2011-03-31,7.08,$1.38,5.12
2010-12-31,6.56,$1.36,4.82
2010-09-30,5.74,$0.70,8.15
2010-06-30,6.09,$1.77,3.44
2010-03-31,6.42,$1.17,5.5
2009-12-31,5.47,$0.91,6.0
