Sandstorm Gold Price to Free Cash Flow Ratio Historical Data,Sandstorm Gold Price to Free Cash Flow Ratio Historical Data,Sandstorm Gold Price to Free Cash Flow Ratio Historical Data,Sandstorm Gold Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,5.88,,10.88
2024-06-30,5.41,$0.54,10.01
2024-03-31,5.2,$0.56,9.24
2023-12-31,4.97,$0.59,8.46
2023-09-30,4.59,$2.76,1.66
2023-06-30,5.03,$0.73,6.89
2023-03-31,5.7,$0.64,8.88
2022-12-31,5.14,$0.62,8.31
2022-09-30,5.04,$-1.00,0.0
2022-06-30,5.78,$0.37,15.72
2022-03-31,7.84,$0.39,20.12
2021-12-31,6.0,$0.41,14.63
2021-09-30,5.57,$-0.03,0.0
2021-06-30,7.64,$0.62,12.35
2021-03-31,6.58,$0.57,11.51
2020-12-31,6.94,$0.54,12.88
2020-09-30,8.17,$0.55,14.93
2020-06-30,9.31,$0.48,19.38
2020-03-31,4.85,$0.49,9.91
2019-12-31,7.21,$0.30,23.92
2019-09-30,5.46,$0.17,32.07
2019-06-30,5.36,$0.21,25.9
2019-03-31,5.3,$0.21,24.76
2018-12-31,4.46,$0.14,32.37
2018-09-30,3.61,$0.02,185.11
2018-06-30,4.35,$-0.02,0.0
2018-03-31,4.61,$-0.01,0.0
2017-12-31,4.83,$0.25,19.19
2017-09-30,4.39,$0.18,24.19
2017-06-30,3.75,$0.29,12.85
2017-03-31,4.13,$0.24,16.89
2016-12-31,3.77,$0.23,16.74
2016-09-30,4.87,$-1.04,0.0
2016-06-30,4.32,$-1.03,0.0
2016-03-31,3.18,$-1.01,0.0
2015-12-31,2.55,$-1.49,0.0
2015-09-30,2.58,$-0.16,0.0
2015-06-30,2.85,$-0.35,0.0
2015-03-31,3.17,$-0.32,0.0
2014-12-31,3.29,$0.06,55.58
2014-09-30,4.16,$0.07,62.11
2014-06-30,6.7,$0.16,41.29
2014-03-31,5.39,$-0.06,0.0
2013-12-31,4.13,$-0.39,0.0
2013-09-30,5.21,$-0.47,0.0
2013-06-30,5.66,$-0.51,0.0
2013-03-31,9.15,$-0.05,0.0
2012-06-30,7.93,$-0.22,0.0
