Kimbell Royalty Price to Free Cash Flow Ratio Historical Data,Kimbell Royalty Price to Free Cash Flow Ratio Historical Data,Kimbell Royalty Price to Free Cash Flow Ratio Historical Data,Kimbell Royalty Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,16.2,,0.0
2024-06-30,15.94,$-2.68,0.0
2024-03-31,14.66,$-3.40,0.0
2023-12-31,13.83,$-3.40,0.0
2023-09-30,14.24,$-5.51,0.0
2023-06-30,12.75,$-0.36,0.0
2023-03-31,12.91,$0.19,66.58
2022-12-31,13.73,$0.38,35.9
2022-09-30,13.59,$1.40,9.68
2022-06-30,12.17,$0.70,17.4
2022-03-31,12.28,$0.97,12.7
2021-12-31,10.03,$0.58,17.29
2021-09-30,10.15,$1.48,6.88
2021-06-30,8.99,$1.77,5.07
2021-03-31,6.92,$-1.05,0.0
2020-12-31,5.28,$-0.76,0.0
2020-09-30,3.95,$-0.68,0.0
2020-06-30,5.48,$-0.03,0.0
2020-03-31,3.63,$3.05,1.19
2019-12-31,10.31,$3.21,3.21
2019-09-30,8.66,$1.22,7.09
2019-06-30,9.27,$-8.83,0.0
2019-03-31,10.49,$-8.71,0.0
2018-12-31,7.61,$-9.09,0.0
2018-09-30,10.74,$-8.06,0.0
2018-06-30,11.82,$1.32,8.97
2018-03-31,9.96,$-0.35,0.0
2017-12-31,8.36,$-6.51,0.0
