Liberty Global Price to Free Cash Flow Ratio Historical Data,Liberty Global Price to Free Cash Flow Ratio Historical Data,Liberty Global Price to Free Cash Flow Ratio Historical Data,Liberty Global Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,9.96,,inf
2019-03-31,19.45,0.0,0.0
2018-12-31,14.57,0.0,0.0
2018-09-30,20.63,0.0,0.0
2018-06-30,19.38,0.0,0.0
2018-03-31,19.09,0.0,0.0
2017-09-30,23.3,0.0,0.0
2017-06-30,21.41,0.0,0.0
2017-03-31,23.04,0.0,0.0
2016-12-31,21.17,0.0,0.0
2016-09-30,28.05,0.0,0.0
2016-06-30,32.49,0.0,0.0
2016-03-31,37.88,0.0,0.0
2015-12-31,43.0,0.0,0.0
2015-09-30,34.24,0.0,0.0
2023-12-31,7.34,0.0,0.0
2023-09-30,8.16,0.0,0.0
2023-06-30,8.62,0.0,0.0
2023-03-31,8.26,0.0,0.0
2022-12-31,7.6,0.0,0.0
2022-09-30,6.15,0.0,0.0
2022-06-30,7.79,0.0,0.0
2022-03-31,9.59,0.0,0.0
2021-12-31,11.4,0.0,0.0
2021-09-30,13.12,0.0,0.0
2021-06-30,14.1,0.0,0.0
2021-03-31,12.98,0.0,0.0
2020-12-31,11.09,0.0,0.0
2020-09-30,8.14,0.0,0.0
2020-06-30,9.44,0.0,0.0
2020-03-31,10.26,0.0,0.0
2019-12-31,19.46,0.0,0.0
2019-09-30,17.1,0.0,0.0
