Patterson Price to Free Cash Flow Ratio Historical Data,Patterson Price to Free Cash Flow Ratio Historical Data,Patterson Price to Free Cash Flow Ratio Historical Data,Patterson Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,21.1,,0.0
2024-07-31,25.25,$-9.70,0.0
2024-04-30,25.21,$-9.15,0.0
2024-01-31,29.25,$-8.84,0.0
2023-10-31,29.59,$-8.22,0.0
2023-07-31,31.68,$-7.94,0.0
2023-04-30,25.9,$-8.37,0.0
2023-01-31,28.57,$-9.48,0.0
2022-10-31,24.36,$-10.32,0.0
2022-07-31,28.84,$-10.32,0.0
2022-04-30,28.33,$-10.35,0.0
2022-01-31,26.22,$-10.10,0.0
2021-10-31,28.3,$-8.93,0.0
2021-07-31,27.96,$-8.63,0.0
2021-04-30,28.62,$-7.82,0.0
2021-01-31,27.98,$-7.36,0.0
2020-10-31,21.8,$-7.17,0.0
2020-07-31,23.06,$-4.92,0.0
2020-04-30,15.7,$-3.03,0.0
2020-01-31,18.58,$-2.71,0.0
2019-10-31,14.29,$-2.44,0.0
2019-07-31,16.26,$-2.82,0.0
2019-04-30,17.72,$-0.13,0.0
2019-01-31,17.87,$1.78,10.03
2018-10-31,17.89,$2.72,6.59
2018-07-31,19.21,$4.13,4.65
2018-04-30,18.03,$1.46,12.38
2018-01-31,27.49,$1.86,14.75
2017-10-31,28.14,$2.74,10.26
2017-07-31,31.51,$-0.14,0.0
2017-04-30,33.4,$2.70,12.37
2017-01-31,31.06,$0.42,73.66
2016-10-31,31.69,$-0.77,0.0
2016-04-30,31.84,$0.79,40.5
2016-01-31,31.02,$1.45,21.37
2015-10-31,34.46,$1.08,31.92
2015-07-31,36.29,$2.37,15.32
2015-04-30,33.82,$2.66,12.73
2016-07-31,36.43,$0.24,151.55
2015-01-31,35.91,$1.51,23.77
2014-10-31,30.78,$1.48,20.78
2014-07-31,27.72,$1.96,14.11
2014-04-30,28.78,$1.59,18.08
2014-01-31,28.12,$2.30,12.22
2013-10-31,29.8,$2.29,13.04
2013-07-31,28.55,$2.29,12.48
2013-04-30,26.39,$2.67,9.88
2013-01-31,25.01,$2.33,10.71
2012-10-31,23.03,$2.97,7.76
2012-07-31,23.42,$2.68,8.74
2012-04-30,23.32,$2.63,8.87
2012-01-31,21.92,$2.43,9.02
2011-10-31,21.34,$3.04,7.02
2011-07-31,20.83,$2.27,9.18
2011-04-30,23.36,$1.90,12.32
2011-01-31,22.17,$2.21,10.05
2010-10-31,18.48,$1.33,13.86
2010-07-31,17.77,$1.76,10.08
2010-04-30,21.22,$1.98,10.73
2010-01-31,18.9,$1.49,12.69
2009-10-31,16.89,$1.13,14.95
