InMode Price to Free Cash Flow Ratio Historical Data,InMode Price to Free Cash Flow Ratio Historical Data,InMode Price to Free Cash Flow Ratio Historical Data,InMode Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,17.21,,8.8
2024-06-30,18.24,$1.96,9.32
2024-03-31,21.61,$2.08,10.37
2023-12-31,22.24,$2.05,10.85
2023-09-30,30.46,$1.99,15.29
2023-06-30,37.35,$2.05,18.26
2023-03-31,31.96,$1.98,16.12
2022-12-31,35.7,$2.11,16.94
2022-09-30,29.11,$2.07,14.07
2022-06-30,22.41,$2.12,10.6
2022-03-31,36.91,$2.10,17.57
2021-12-31,70.58,$2.02,34.9
2021-09-30,79.73,$1.90,41.98
2021-06-30,47.34,$1.68,28.21
2021-03-31,36.19,$1.15,31.39
2020-12-31,23.74,$0.94,25.37
2020-09-30,18.09,$0.81,22.31
2020-06-30,14.16,$0.89,15.85
