NorthWestern Price to Free Cash Flow Ratio Historical Data,NorthWestern Price to Free Cash Flow Ratio Historical Data,NorthWestern Price to Free Cash Flow Ratio Historical Data,NorthWestern Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,56.46,,0.0
2024-06-30,50.08,$-2.18,0.0
2024-03-31,50.93,$-1.71,0.0
2023-12-31,50.89,$-1.29,0.0
2023-09-30,48.06,$-2.04,0.0
2023-06-30,56.06,$-3.19,0.0
2023-03-31,56.53,$-3.90,0.0
2022-12-31,57.32,$-3.73,0.0
2022-09-30,47.09,$-3.78,0.0
2022-06-30,55.67,$-2.65,0.0
2022-03-31,56.5,$-2.44,0.0
2021-12-31,52.83,$-4.15,0.0
2021-09-30,52.37,$-3.56,0.0
2021-06-30,54.49,$-3.42,0.0
2021-03-31,58.43,$-0.92,0.0
2020-12-31,51.75,$-1.28,0.0
2020-09-30,42.71,$0.83,51.61
2020-06-30,47.3,$-0.06,0.0
2019-12-31,60.93,$-0.38,0.0
2019-09-30,63.28,$0.60,106.29
2019-06-30,60.36,$1.91,31.68
2019-03-31,58.44,$3.28,17.82
2018-12-31,48.93,$2.54,19.26
2020-03-31,51.36,$4.61,11.15
2018-09-30,47.88,$1.80,26.63
2018-06-30,46.31,$2.33,19.87
2018-03-31,43.08,$1.22,35.33
2017-12-31,47.29,$0.96,49.29
2017-09-30,44.72,$1.06,42.23
2017-06-30,47.5,$0.83,56.94
2017-03-31,45.32,$0.31,145.34
2016-12-31,43.5,$0.01,0.0
2016-09-30,43.63,$0.18,247.03
2016-06-30,47.41,$0.97,48.87
2016-03-31,46.04,$2.20,20.92
2015-12-31,40.11,$1.81,22.14
2015-09-30,39.44,$1.82,21.7
2015-06-30,35.38,$0.46,76.76
2015-03-31,38.67,$-0.53,0.0
2014-12-31,40.3,$-0.47,0.0
2014-09-30,32.07,$-0.92,0.0
2014-06-30,36.59,$-1.64,0.0
2014-03-31,32.98,$-0.18,0.0
2013-12-31,29.86,$-2.61,0.0
2013-09-30,30.68,$-0.74,0.0
2013-06-30,27.0,$-0.90,0.0
2012-12-31,23.06,$0.87,26.37
2012-09-30,23.8,$1.02,23.38
2012-06-30,23.86,$2.53,9.44
2012-03-31,22.82,$3.08,7.4
2011-12-31,22.8,$1.28,17.78
2013-03-31,26.73,$4.33,6.17
2011-09-30,20.13,$1.82,11.06
2011-06-30,20.64,$1.81,11.41
2011-03-31,18.67,$0.73,25.57
2010-12-31,17.55,$-0.26,0.0
2010-09-30,17.15,$-2.10,0.0
2010-06-30,15.58,$-2.64,0.0
2010-03-31,15.73,$-1.98,0.0
2009-12-31,15.07,$-2.00,0.0
