Primo Water Price to Free Cash Flow Ratio Historical Data,Primo Water Price to Free Cash Flow Ratio Historical Data,Primo Water Price to Free Cash Flow Ratio Historical Data,Primo Water Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,27.25,,17.84
2024-06-30,21.77,$1.53,14.25
2024-03-31,18.07,$0.50,36.2
2023-12-31,14.85,$0.95,15.66
2023-09-30,13.54,$0.79,17.1
2023-06-30,12.24,$0.26,47.73
2022-12-31,14.99,$0.80,18.79
2022-09-30,12.05,$0.86,14.05
2022-06-30,12.79,$0.64,19.96
2022-03-31,13.55,$0.80,16.95
2021-12-31,16.68,$1.05,15.93
2023-03-31,14.89,$0.38,38.95
2021-09-30,14.83,$0.74,20.16
2021-06-30,15.72,$0.65,24.34
2021-03-31,15.23,$0.75,20.39
2020-12-31,14.63,$0.52,27.94
2020-09-30,13.2,$0.83,15.95
2020-06-30,12.73,$1.04,12.29
2020-03-31,8.35,$0.62,13.56
2019-12-31,12.55,$0.78,15.99
2019-09-30,11.39,$0.41,27.79
2019-06-30,12.13,$0.31,39.57
2019-03-31,13.22,$0.52,25.47
2018-12-31,12.56,$0.60,21.05
2018-09-30,14.49,$0.49,29.58
2018-06-30,14.8,$0.26,56.45
2018-03-31,13.11,$0.42,30.93
2017-12-31,14.78,$0.44,33.65
2017-09-30,13.27,$0.71,18.61
2017-06-30,12.72,$0.59,21.39
2017-03-31,10.84,$0.86,12.64
2016-12-31,9.88,$0.41,24.39
2016-09-30,12.37,$-0.24,0.0
2016-06-30,12.07,$0.33,36.65
2016-03-31,11.96,$0.31,38.35
2015-12-31,9.42,$0.75,12.52
2015-09-30,9.23,$1.57,5.9
2015-06-30,8.29,$1.23,6.75
2014-12-31,5.76,$0.12,47.83
2014-09-30,5.7,$1.43,4.0
2014-06-30,5.82,$0.58,10.02
2014-03-31,6.91,$1.20,5.75
2013-12-31,6.53,$2.06,3.18
2015-03-31,7.89,$-0.11,0.0
2013-09-30,6.15,$1.26,4.88
2013-06-30,6.2,$0.94,6.57
2013-03-31,7.98,$0.93,8.58
2012-12-31,6.29,$1.11,5.65
2012-09-30,6.15,$0.96,6.38
2012-06-30,6.39,$1.06,6.05
2012-03-31,5.13,$0.97,5.26
2011-12-31,4.87,$1.21,4.02
2011-09-30,5.3,$1.04,5.09
2011-06-30,6.54,$1.02,6.42
2011-03-31,6.54,$1.17,5.6
2010-12-31,7.01,$1.57,4.46
2010-09-30,6.11,$1.22,5.02
2010-06-30,4.53,$1.27,3.58
2010-03-31,6.03,$1.43,4.21
2009-12-31,6.38,$1.66,3.85
