Choice Hotels Price to Free Cash Flow Ratio Historical Data,Choice Hotels Price to Free Cash Flow Ratio Historical Data,Choice Hotels Price to Free Cash Flow Ratio Historical Data,Choice Hotels Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,134.15,,47.58
2024-06-30,118.45,$2.82,42.01
2024-03-31,125.47,$3.08,40.79
2023-12-31,112.51,$3.56,31.64
2023-09-30,121.35,$5.19,23.4
2023-06-30,115.85,$7.08,16.37
2023-03-31,115.53,$7.24,15.95
2022-12-31,110.77,$8.05,13.76
2022-09-30,107.48,$8.23,13.05
2022-06-30,109.31,$6.77,16.14
2022-03-31,138.52,$6.47,21.4
2021-12-31,151.93,$5.65,26.91
2021-09-30,123.08,$4.26,28.88
2021-06-30,115.56,$3.15,36.69
2021-03-31,104.12,$1.22,85.4
2020-12-31,103.57,$1.38,75.22
2020-09-30,83.42,$1.90,43.84
2020-06-30,76.57,$2.40,31.89
2020-03-31,59.21,$3.77,15.72
2019-12-31,99.99,$4.02,24.87
2019-09-30,85.61,$4.25,20.16
2019-06-30,83.52,$3.97,21.04
2019-03-31,74.42,$3.76,19.82
2018-12-31,68.52,$3.50,19.56
2018-09-30,79.53,$3.60,22.11
2018-06-30,72.18,$4.01,18.02
2018-03-31,76.31,$3.80,20.07
2017-12-31,73.68,$4.16,17.73
2017-09-30,60.51,$3.66,16.55
2017-06-30,60.63,$3.08,19.69
2017-03-31,58.88,$3.25,18.1
2016-12-31,52.54,$2.46,21.33
2016-09-30,42.1,$2.38,17.66
2016-06-30,44.27,$2.25,19.72
2016-03-31,50.02,$2.43,20.58
2015-12-31,46.48,$2.51,18.53
2015-09-30,43.76,$2.24,19.54
2015-06-30,49.61,$2.51,19.75
2015-03-31,58.39,$2.58,22.67
2014-12-31,50.9,$3.13,16.27
2014-09-30,46.91,$3.16,14.87
2014-06-30,42.5,$3.15,13.51
2014-03-31,41.17,$2.49,16.53
2013-12-31,43.96,$2.07,21.23
2013-09-30,38.34,$1.82,21.13
2013-06-30,35.23,$1.92,18.34
2013-03-31,37.39,$2.05,18.22
2012-12-31,29.58,$2.31,12.82
2012-09-30,27.99,$2.27,12.33
2012-06-30,26.12,$2.15,12.14
2012-03-31,24.31,$2.22,10.93
2011-12-31,24.65,$2.08,11.83
2011-09-30,19.16,$2.14,8.97
2011-06-30,21.38,$1.98,10.82
2011-03-31,24.76,$1.86,13.32
2010-12-31,24.27,$2.02,12.02
2010-09-30,23.01,$2.01,11.47
2010-06-30,18.97,$1.48,12.86
2010-03-31,21.73,$1.60,13.6
2009-12-31,19.66,$1.69,11.6
