Nordstrom Price to Free Cash Flow Ratio Historical Data,Nordstrom Price to Free Cash Flow Ratio Historical Data,Nordstrom Price to Free Cash Flow Ratio Historical Data,Nordstrom Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,24.46,,29.17
2024-07-31,22.64,$0.84,27.01
2024-04-30,18.85,$1.32,14.31
2024-01-31,17.81,$0.51,35.05
2023-10-31,13.55,$1.99,6.81
2023-07-31,22.12,$3.59,6.17
2023-04-30,14.63,$1.87,7.82
2023-01-31,18.28,$3.41,5.36
2022-10-31,18.85,$1.74,10.87
2022-07-31,21.56,$0.67,32.15
2022-04-30,23.4,$5.20,4.5
2022-01-31,20.34,$1.13,17.97
2021-10-31,25.98,$-0.32,0.0
2021-07-31,29.93,$2.72,10.99
2021-04-30,33.17,$-1.60,0.0
2021-01-31,32.05,$-4.42,0.0
2020-10-31,10.94,$-1.69,0.0
2020-07-31,12.38,$-4.64,0.0
2020-04-30,16.98,$-2.09,0.0
2020-01-31,32.87,$1.93,17.05
2019-10-31,31.71,$1.44,22.07
2019-07-31,28.88,$3.23,8.94
2019-04-30,35.36,$2.91,12.17
2019-01-31,39.67,$3.78,10.51
2018-10-31,55.82,$4.84,11.55
2018-07-31,44.22,$4.49,9.86
2018-04-30,42.36,$3.42,12.4
2018-01-31,41.02,$3.96,10.36
2017-10-31,32.69,$3.53,9.27
2017-07-31,39.71,$3.44,11.55
2017-04-30,39.11,$4.41,8.87
2017-01-31,35.56,$4.62,7.69
2016-10-31,41.55,$4.12,10.09
2016-07-31,35.09,$10.42,3.37
2016-04-30,40.17,$7.40,5.43
2016-01-31,38.31,$7.30,5.25
2015-10-31,50.55,$7.01,7.21
2015-07-31,54.94,$1.34,40.91
2015-04-30,54.13,$1.37,39.52
2015-01-31,54.34,$1.85,29.3
2014-10-31,51.55,$1.61,32.02
2014-07-31,49.15,$1.98,24.88
2014-04-30,43.09,$2.78,15.51
2014-01-31,40.18,$2.62,15.37
2013-10-31,42.09,$2.71,15.56
2013-07-31,42.4,$2.76,15.37
2013-04-30,38.99,$2.66,14.66
2013-01-31,37.84,$2.89,13.1
2012-10-31,38.7,$2.66,14.53
2012-07-31,36.74,$2.59,14.19
2012-04-30,37.71,$2.93,12.86
2012-01-31,33.17,$3.06,10.84
2011-10-31,33.87,$3.37,10.05
2011-07-31,33.35,$3.37,9.91
2011-04-30,31.46,$3.42,9.19
2011-01-31,27.1,$3.50,7.75
2010-10-31,25.23,$2.89,8.71
2010-07-31,22.13,$3.10,7.14
2010-04-30,26.76,$4.07,6.57
2010-01-31,22.26,$4.06,5.49
2009-10-31,20.39,$3.66,5.58
