Dollar Tree Price to Free Cash Flow Ratio Historical Data,Dollar Tree Price to Free Cash Flow Ratio Historical Data,Dollar Tree Price to Free Cash Flow Ratio Historical Data,Dollar Tree Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,84.49,,45.71
2024-04-30,118.25,$1.85,63.98
2024-01-31,130.62,$2.63,49.7
2023-10-31,111.09,$2.96,37.52
2023-07-31,154.33,$2.32,66.65
2023-04-30,153.71,$2.17,70.98
2023-01-31,150.18,$1.61,93.23
2022-10-31,158.5,$-0.27,0.0
2022-07-31,165.36,$0.50,332.25
2022-04-30,162.45,$1.62,100.36
2022-01-31,131.22,$1.78,73.52
2021-10-31,107.76,$4.58,23.54
2021-07-31,99.79,$4.87,20.49
2021-04-30,114.9,$6.06,18.95
2021-01-31,101.66,$7.70,13.21
2020-10-31,90.32,$6.84,13.2
2020-07-31,93.35,$6.13,15.23
2020-04-30,79.67,$4.85,16.44
2020-01-31,87.07,$3.50,24.91
2019-10-31,110.4,$3.15,35.07
2019-07-31,101.75,$3.84,26.47
2019-04-30,111.28,$4.82,23.09
2019-01-31,96.83,$3.99,24.27
2018-10-31,84.3,$4.90,17.2
2018-07-31,91.28,$3.55,25.68
2018-04-30,95.89,$3.20,29.95
2018-01-31,115.0,$3.70,31.12
2017-10-31,91.25,$4.41,20.67
2017-07-31,72.08,$5.81,12.41
2017-04-30,82.77,$6.04,13.71
2017-01-31,77.19,$7.67,10.06
2016-10-31,75.55,$3.20,23.59
2016-04-30,79.71,$1.62,49.33
2016-01-31,81.32,$1.44,56.35
2015-10-31,65.49,$0.78,83.99
2015-07-31,78.03,$1.10,70.89
2015-04-30,76.41,$2.78,27.45
2015-01-31,71.1,$2.99,23.78
2014-10-31,60.57,$2.39,25.34
2014-07-31,54.47,$2.66,20.48
2014-04-30,52.07,$2.61,19.97
2014-01-31,50.52,$2.11,23.9
2013-10-31,58.4,$1.63,35.82
2013-07-31,53.65,$1.43,37.49
2013-04-30,47.56,$1.40,33.93
2013-01-31,39.99,$1.58,25.27
2012-10-31,39.87,$1.63,24.48
2012-07-31,50.34,$1.84,27.35
2012-04-30,50.83,$1.70,29.89
2012-01-31,42.4,$1.80,23.55
2011-10-31,39.98,$1.72,23.2
2011-07-31,33.12,$1.64,20.19
2011-04-30,28.75,$1.76,16.33
2011-01-31,25.29,$1.33,19.04
2010-10-31,25.66,$1.25,20.56
2010-07-31,22.16,$1.55,14.33
2010-04-30,20.24,$1.43,14.15
2010-01-31,16.51,$1.54,10.71
2009-10-31,15.04,$0.03,594.6
2009-07-31,15.37,$1.24,12.38
