St Joe Price to Free Cash Flow Ratio Historical Data,St Joe Price to Free Cash Flow Ratio Historical Data,St Joe Price to Free Cash Flow Ratio Historical Data,St Joe Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,59.53,,222.63
2024-06-30,54.57,$0.27,204.06
2024-03-31,57.71,$0.04,1518.69
2023-12-31,59.78,$-0.62,0.0
2023-09-30,53.84,$-1.72,0.0
2023-06-30,47.81,$-2.73,0.0
2023-03-31,41.06,$-3.45,0.0
2022-12-31,38.05,$-3.59,0.0
2022-09-30,31.44,$-2.11,0.0
2022-06-30,38.74,$-1.69,0.0
2022-03-31,57.89,$-1.01,0.0
2021-12-31,50.77,$-0.71,0.0
2021-09-30,41.0,$-1.00,0.0
2021-06-30,43.37,$-0.90,0.0
2021-03-31,41.63,$-1.16,0.0
2020-12-31,41.12,$-1.43,0.0
2020-09-30,19.94,$-1.35,0.0
2020-06-30,18.77,$-1.27,0.0
2020-03-31,16.22,$-1.07,0.0
2019-12-31,19.16,$-0.73,0.0
2019-09-30,16.56,$-0.80,0.0
2019-06-30,16.7,$-0.52,0.0
2019-03-31,15.94,$0.11,148.11
2018-12-31,12.73,$0.34,37.94
2018-09-30,16.24,$0.57,28.56
2018-06-30,17.35,$0.45,38.4
2018-03-31,18.22,$0.37,49.38
2017-12-31,17.44,$0.35,49.59
2017-09-30,18.22,$0.29,62.65
2017-06-30,18.12,$0.36,49.89
2017-03-31,16.48,$-0.04,0.0
2016-12-31,18.36,$-0.28,0.0
2016-09-30,17.76,$-0.30,0.0
2016-06-30,17.13,$0.12,147.25
2015-12-31,17.89,$0.15,117.85
2015-09-30,18.49,$0.44,41.71
2015-06-30,15.01,$0.15,99.0
2015-03-31,17.94,$3.56,5.04
2014-12-31,17.77,$3.58,4.96
2014-09-30,19.26,$3.54,5.44
2014-03-31,18.6,$3.92,4.74
2013-12-31,18.55,$0.14,134.39
2013-09-30,18.96,$0.04,475.23
2013-06-30,20.34,$0.24,84.91
2013-03-31,20.54,$0.23,90.59
2012-12-31,22.31,$0.24,91.19
2012-09-30,18.85,$0.04,451.94
2012-06-30,15.28,$-0.32,0.0
2012-03-31,18.37,$-0.15,0.0
2011-12-31,14.17,$-0.13,0.0
2011-09-30,14.49,$0.00,0.0
2011-06-30,20.14,$0.76,26.44
2016-03-31,16.57,$0.38,43.66
2010-12-31,21.12,$0.17,127.75
2010-09-30,24.04,$0.39,61.36
2010-06-30,22.38,$0.22,103.1
2010-03-31,31.26,$0.46,68.53
2009-12-31,27.92,$0.55,50.63
2009-09-30,28.14,$3.74,7.52
2009-06-30,25.6,$3.68,6.95
