Revolution Medicines Price to Free Cash Flow Ratio Historical Data,Revolution Medicines Price to Free Cash Flow Ratio Historical Data,Revolution Medicines Price to Free Cash Flow Ratio Historical Data,Revolution Medicines Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,50.0,,0.0
2024-06-30,38.81,$-3.71,0.0
2024-03-31,32.23,$-3.48,0.0
2023-12-31,28.68,$-3.17,0.0
2023-09-30,27.68,$-3.06,0.0
2023-06-30,26.75,$-2.60,0.0
2023-03-31,21.66,$-2.82,0.0
2022-12-31,23.82,$-2.92,0.0
2022-09-30,19.72,$-2.58,0.0
2022-06-30,19.49,$-2.62,0.0
2022-03-31,25.51,$-2.30,0.0
2021-12-31,25.17,$-2.11,0.0
2021-09-30,27.51,$-2.23,0.0
2021-06-30,31.74,$-2.08,0.0
2021-03-31,45.88,$-1.48,0.0
2020-12-31,39.59,$-1.88,0.0
