NVent Electric Price to Free Cash Flow Ratio Historical Data,NVent Electric Price to Free Cash Flow Ratio Historical Data,NVent Electric Price to Free Cash Flow Ratio Historical Data,NVent Electric Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,76.1,,23.89
2024-06-30,76.42,$3.18,23.99
2024-03-31,75.02,$2.89,25.96
2023-12-31,58.59,$2.76,21.21
2023-09-30,52.35,$2.55,20.53
2023-06-30,50.88,$2.50,20.38
2023-03-31,42.12,$2.41,17.46
2022-12-31,37.56,$2.08,18.03
2022-09-30,30.7,$1.62,18.99
2022-06-30,30.26,$1.50,20.19
2022-03-31,33.43,$1.72,19.47
2021-12-31,36.35,$1.97,18.45
2021-09-30,30.76,$2.12,14.53
2021-06-30,29.55,$2.11,14.03
2021-03-31,26.25,$2.06,12.77
2020-12-31,21.74,$1.80,12.05
2020-09-30,16.37,$2.02,8.09
2020-06-30,17.17,$1.93,8.91
2020-03-31,15.31,$1.83,8.35
2019-12-31,23.06,$1.76,13.13
2019-09-30,19.71,$1.62,12.14
2019-06-30,22.01,$1.55,14.18
2019-03-31,23.8,$1.60,14.85
