TTM Technologies Price to Free Cash Flow Ratio Historical Data,TTM Technologies Price to Free Cash Flow Ratio Historical Data,TTM Technologies Price to Free Cash Flow Ratio Historical Data,TTM Technologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,20.5,,34.63
2024-06-30,19.43,$0.59,32.83
2024-03-31,15.65,$0.30,51.35
2023-12-31,15.81,$0.87,18.19
2023-09-30,12.88,$1.39,9.24
2023-06-30,13.9,$1.66,8.39
2023-03-31,13.49,$2.15,6.27
2022-12-31,15.08,$1.69,8.9
2022-09-30,13.18,$1.55,8.52
2022-06-30,12.5,$1.03,12.16
2022-03-31,14.82,$0.82,18.07
2021-12-31,14.9,$0.89,16.77
2021-09-30,12.57,$0.84,14.93
2021-06-30,14.3,$1.37,10.41
2021-03-31,14.5,$1.97,7.37
2020-12-31,13.8,$1.74,7.95
2020-09-30,11.41,$2.17,5.26
2020-06-30,11.86,$2.06,5.76
2020-03-31,10.34,$1.53,6.75
2019-12-31,15.05,$1.65,9.09
2019-09-30,12.2,$1.75,6.96
2019-06-30,10.2,$1.67,6.11
2019-03-31,11.73,$1.53,7.69
2018-12-31,9.73,$0.92,10.57
2018-09-30,15.91,$0.94,16.86
2018-06-30,17.63,$0.98,17.94
2018-03-31,15.29,$0.85,17.98
2017-12-31,15.67,$1.58,9.95
2017-09-30,15.37,$1.71,8.98
2017-06-30,17.36,$1.94,8.94
2017-03-31,16.13,$0.62,25.96
2016-12-31,13.63,$1.71,7.96
2016-09-30,11.45,$0.44,25.76
2016-06-30,7.53,$-0.12,0.0
2015-12-31,6.51,$1.72,3.79
2015-09-30,6.23,$0.70,8.9
2015-06-30,9.99,$0.90,11.06
2015-03-31,9.01,$1.04,8.68
2014-12-31,7.53,$-0.01,0.0
2016-03-31,6.65,$-0.08,0.0
2014-09-30,6.81,$-0.19,0.0
2014-06-30,8.2,$-0.07,0.0
2014-03-31,8.45,$0.64,13.14
2013-12-31,8.58,$0.43,19.98
2013-09-30,9.74,$0.77,12.59
2013-06-30,8.4,$0.68,12.34
2013-03-31,7.6,$0.47,16.33
2012-12-31,9.19,$0.56,16.3
2012-09-30,9.42,$0.23,40.26
2012-06-30,9.39,$0.21,45.47
2012-03-31,11.51,$0.43,26.91
2011-12-31,10.96,$0.47,23.19
2011-09-30,9.51,$1.33,7.16
2011-06-30,16.02,$1.29,12.44
2011-03-31,18.16,$0.91,20.03
2010-12-31,14.92,$0.93,16.02
2010-09-30,9.79,$0.52,18.9
2010-06-30,9.5,$0.65,14.6
2010-03-31,8.88,$1.33,6.7
2009-12-31,11.53,$1.45,7.95
