Ormat Technologies Price to Free Cash Flow Ratio Historical Data,Ormat Technologies Price to Free Cash Flow Ratio Historical Data,Ormat Technologies Price to Free Cash Flow Ratio Historical Data,Ormat Technologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,77.27,,0.0
2024-06-30,71.58,$-4.64,0.0
2024-03-31,65.97,$-4.09,0.0
2023-12-31,75.4,$-5.17,0.0
2023-09-30,69.43,$-6.02,0.0
2023-06-30,79.77,$-4.62,0.0
2023-03-31,83.93,$-4.90,0.0
2022-12-31,85.5,$-5.00,0.0
2022-09-30,85.12,$-3.87,0.0
2022-06-30,77.28,$-3.53,0.0
2022-03-31,80.58,$-3.49,0.0
2021-12-31,77.97,$-2.84,0.0
2021-09-30,65.39,$-3.76,0.0
2021-06-30,68.14,$-3.07,0.0
2021-03-31,76.82,$-1.40,0.0
2020-12-31,88.19,$-1.07,0.0
2020-09-30,57.66,$-0.92,0.0
2020-06-30,61.82,$-1.59,0.0
2020-03-31,65.78,$-1.37,0.0
2019-12-31,72.32,$-0.85,0.0
2019-09-30,71.99,$-0.09,0.0
2019-06-30,61.34,$0.01,0.0
2019-03-31,53.27,$-0.77,0.0
2018-12-31,50.41,$-2.21,0.0
2018-09-30,52.06,$-1.97,0.0
2018-06-30,51.08,$-1.65,0.0
2018-03-31,54.04,$-1.56,0.0
2017-12-31,61.05,$-0.27,0.0
2017-09-30,58.2,$-1.06,0.0
2017-06-30,55.86,$-0.92,0.0
2017-03-31,54.26,$0.59,91.23
2016-12-31,50.82,$0.15,346.4
2016-09-30,45.81,$1.65,27.69
2016-06-30,41.35,$1.27,32.52
2016-03-31,38.9,$-0.16,0.0
2015-12-31,34.15,$0.76,44.7
2015-09-30,31.81,$0.24,132.37
2015-06-30,35.16,$1.56,22.47
2015-03-31,35.42,$1.44,24.59
2014-12-31,25.27,$1.35,18.67
2014-09-30,24.38,$0.93,26.26
2014-06-30,26.7,$-0.47,0.0
2014-03-31,27.75,$-1.14,0.0
2013-12-31,25.11,$-2.59,0.0
2013-09-30,24.66,$-2.73,0.0
2013-06-30,21.63,$-3.69,0.0
2013-03-31,18.99,$-3.33,0.0
2012-12-31,17.73,$-3.16,0.0
2012-09-30,17.25,$-3.93,0.0
2012-06-30,19.63,$-2.74,0.0
2012-03-31,18.46,$-2.61,0.0
2011-12-31,16.52,$-3.01,0.0
2011-09-30,14.73,$-3.28,0.0
2011-06-30,20.12,$-3.78,0.0
2011-03-31,23.11,$-4.30,0.0
2010-12-31,26.93,$-4.00,0.0
2010-09-30,26.51,$-3.09,0.0
2010-06-30,25.66,$-3.25,0.0
2010-03-31,25.48,$-3.44,0.0
2009-12-31,34.13,$-3.51,0.0
