Hims & Hers Health Price to Free Cash Flow Ratio Historical Data,Hims & Hers Health Price to Free Cash Flow Ratio Historical Data,Hims & Hers Health Price to Free Cash Flow Ratio Historical Data,Hims & Hers Health Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,21.56,,48.16
2024-06-30,20.19,$0.45,45.1
2024-03-31,15.47,$0.29,52.87
2023-12-31,8.9,$0.27,33.11
2023-09-30,6.29,$0.16,38.33
2023-06-30,9.4,$0.09,109.94
2023-03-31,9.92,$-0.00,0.0
2022-12-31,6.41,$-0.14,0.0
2022-09-30,5.58,$-0.13,0.0
2022-06-30,4.53,$-0.24,0.0
2022-03-31,5.33,$-0.18,0.0
2021-12-31,6.55,$-0.19,0.0
2021-09-30,7.54,$-0.18,0.0
2021-06-30,10.89,$-0.03,0.0
2021-03-31,13.23,$-0.07,0.0
2020-12-31,14.6,$-0.12,0.0
2020-09-30,11.75,$-0.06,0.0
2020-06-30,10.17,$-0.17,0.0
