Bristol Myers Squibb Price to Free Cash Flow Ratio Historical Data,Bristol Myers Squibb Price to Free Cash Flow Ratio Historical Data,Bristol Myers Squibb Price to Free Cash Flow Ratio Historical Data,Bristol Myers Squibb Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,49.95,,7.92
2024-06-30,40.91,$6.31,6.49
2024-03-31,52.81,$6.07,8.69
2023-12-31,49.39,$6.09,8.11
2023-09-30,55.31,$5.61,9.86
2023-06-30,59.87,$5.04,11.88
2023-03-31,64.37,$5.20,12.39
2022-12-31,66.29,$5.57,11.91
2022-09-30,65.0,$5.84,11.12
2022-06-30,70.41,$6.48,10.86
2022-03-31,66.31,$6.82,9.73
2021-12-31,55.71,$6.79,8.21
2021-09-30,52.87,$6.55,8.07
2021-06-30,58.78,$5.19,11.32
2021-03-31,55.53,$5.84,9.51
2020-12-31,54.15,$5.89,9.19
2020-09-30,51.82,$5.44,9.52
2020-06-30,50.16,$6.01,8.34
2020-03-31,47.17,$5.24,8.99
2019-12-31,53.93,$4.31,12.52
2019-09-30,42.26,$5.33,7.94
2019-06-30,37.46,$4.52,8.29
2019-03-31,39.07,$3.89,10.05
2018-12-31,42.18,$3.74,11.29
2018-09-30,50.06,$2.26,22.19
2018-06-30,44.31,$2.50,17.75
2018-03-31,50.31,$2.78,18.07
2017-12-31,48.43,$2.55,18.96
2017-09-30,50.07,$2.68,18.69
2017-06-30,43.47,$2.43,17.92
2017-03-31,42.12,$1.72,24.52
2016-12-31,44.96,$1.10,40.99
2016-09-30,41.2,$0.82,50.51
2016-06-30,56.2,$0.35,158.85
2016-03-31,48.56,$0.19,251.47
2015-12-31,51.98,$0.77,67.92
2015-09-30,44.49,$0.64,69.84
2015-06-30,49.42,$0.94,52.47
2015-03-31,47.63,$1.56,30.47
2014-12-31,43.59,$1.57,27.76
2014-09-30,37.3,$2.07,18.02
2014-06-30,35.09,$2.15,16.3
2014-03-31,37.32,$2.44,15.31
2013-12-31,38.18,$1.81,21.09
2013-09-30,32.77,$1.43,22.94
2013-06-30,31.4,$3.56,8.83
2013-03-31,28.7,$3.30,8.68
2012-12-31,22.46,$3.79,5.93
2012-09-30,23.03,$4.19,5.5
2012-06-30,24.29,$2.46,9.87
2012-03-31,22.58,$2.52,8.95
2011-12-31,23.35,$2.61,8.96
2011-09-30,20.58,$2.71,7.6
2011-06-30,18.99,$2.48,7.66
2011-03-31,17.14,$2.40,7.15
2010-12-31,16.74,$2.36,7.11
2010-09-30,17.14,$2.37,7.23
2010-06-30,15.59,$2.24,6.95
2010-03-31,16.48,$2.00,8.23
2009-12-31,15.4,$1.97,7.83
