Albemarle Price to Free Cash Flow Ratio Historical Data,Albemarle Price to Free Cash Flow Ratio Historical Data,Albemarle Price to Free Cash Flow Ratio Historical Data,Albemarle Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,90.25,,0.0
2024-06-30,95.52,$-10.76,0.0
2024-03-31,131.23,$-13.69,0.0
2023-12-31,143.45,$-7.00,0.0
2023-09-30,168.36,$3.95,42.65
2023-06-30,220.41,$8.18,26.93
2023-03-31,218.01,$8.29,26.28
2022-12-31,213.49,$5.49,38.92
2022-09-30,259.9,$-2.66,0.0
2022-06-30,205.11,$-8.89,0.0
2022-03-31,216.7,$-5.25,0.0
2021-12-31,228.61,$-5.23,0.0
2021-09-30,213.77,$-0.38,0.0
2021-06-30,164.18,$1.40,116.92
2021-03-31,142.07,$-0.12,0.0
2020-12-31,143.1,$-0.48,0.0
2020-09-30,86.37,$-0.27,0.0
2020-06-30,74.41,$-1.19,0.0
2020-03-31,54.04,$-0.29,0.0
2019-12-31,69.61,$-1.15,0.0
2019-09-30,65.9,$-2.91,0.0
2019-06-30,66.39,$-2.83,0.0
2019-03-31,76.91,$-2.73,0.0
2018-12-31,72.0,$-1.41,0.0
2018-09-30,92.86,$0.01,0.0
2018-06-30,87.49,$0.72,121.55
2018-03-31,85.71,$-0.46,0.0
2017-12-31,117.8,$-0.12,0.0
2017-09-30,125.25,$1.00,125.86
2017-06-30,96.73,$2.05,47.28
2017-03-31,96.55,$3.99,24.17
2016-12-31,78.43,$4.76,16.48
2016-09-30,77.63,$2.60,29.89
2016-06-30,71.73,$2.36,30.42
2016-03-31,57.6,$2.31,24.93
2015-12-31,50.21,$1.19,42.06
2015-09-30,39.29,$1.68,23.33
2015-06-30,48.91,$1.88,26.03
2015-03-31,46.53,$3.16,14.72
2014-12-31,52.67,$4.83,10.9
2014-09-30,51.34,$5.56,9.23
2014-06-30,62.06,$5.54,11.21
2014-03-31,57.43,$4.37,13.14
2013-12-31,54.58,$3.29,16.58
2013-09-30,54.0,$3.57,15.15
2013-06-30,53.25,$2.56,20.79
2013-03-31,53.24,$2.03,26.18
2012-12-31,52.7,$2.31,22.79
2012-09-30,44.54,$2.48,17.97
2012-06-30,50.24,$3.04,16.51
2012-03-31,53.66,$3.85,13.94
2011-12-31,43.11,$3.24,13.29
2011-09-30,33.69,$2.06,16.32
2011-06-30,57.51,$2.53,22.7
2011-03-31,49.54,$2.91,17.01
2010-12-31,46.1,$2.78,16.61
2010-09-30,38.59,$3.34,11.54
2010-06-30,32.63,$3.38,9.65
2010-03-31,34.91,$3.18,10.99
2009-12-31,29.68,$2.80,10.6
