TJX Price to Free Cash Flow Ratio Historical Data,TJX Price to Free Cash Flow Ratio Historical Data,TJX Price to Free Cash Flow Ratio Historical Data,TJX Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,117.27,,31.8
2024-04-30,93.42,$3.69,25.33
2024-01-31,93.91,$3.74,25.11
2023-10-31,86.82,$3.97,21.86
2023-07-31,84.98,$3.90,21.77
2023-04-30,77.08,$0.91,85.16
2023-01-31,79.76,$1.22,65.53
2022-10-31,69.95,$-0.45,0.0
2022-07-31,59.06,$-0.04,0.0
2022-01-31,68.88,$1.65,41.63
2021-10-31,62.45,$5.10,12.25
2021-07-31,65.37,$3.70,17.68
2021-04-30,67.2,$6.01,11.19
2021-01-31,60.39,$9.27,6.52
2022-04-30,58.86,$2.37,24.86
2020-10-31,47.9,$4.76,10.06
2020-07-31,49.02,$1.96,24.98
2020-04-30,46.25,$-0.36,0.0
2020-01-31,55.47,$2.32,23.93
2019-10-31,53.95,$1.80,30.03
2019-07-31,51.06,$1.84,27.82
2019-04-30,51.14,$1.85,27.57
2019-01-31,46.16,$2.35,19.61
2018-10-31,50.8,$1.94,26.16
2018-07-31,44.79,$1.84,24.31
2018-04-30,38.9,$1.74,22.35
2018-01-31,36.67,$1.52,24.08
2017-10-31,31.72,$1.80,17.64
2017-07-31,31.82,$1.91,16.64
2017-04-30,35.45,$1.97,18.0
2017-01-31,33.65,$1.96,17.19
2016-10-31,33.01,$1.79,18.44
2016-07-31,36.46,$1.64,22.27
2016-04-30,33.71,$1.47,22.96
2016-01-31,31.58,$1.51,20.87
2015-10-31,32.35,$1.43,22.62
2015-07-31,30.77,$1.40,21.95
2015-04-30,28.35,$1.47,19.35
2015-01-31,28.89,$1.49,19.39
2014-10-31,27.67,$1.33,20.75
2014-07-31,23.21,$1.39,16.66
2014-04-30,25.27,$1.31,19.25
2014-01-31,24.85,$1.14,21.83
2013-10-31,26.27,$1.12,23.49
2013-07-31,22.43,$1.03,21.84
2013-04-30,20.96,$1.12,18.71
2013-01-31,19.37,$1.39,13.94
2012-10-31,17.8,$1.48,12.06
2012-07-31,18.88,$1.37,13.78
2012-04-30,17.74,$1.07,16.59
2012-01-31,14.45,$0.72,20.1
2011-10-31,12.46,$0.55,22.58
2011-07-31,11.65,$0.50,23.26
2011-04-30,11.25,$0.50,22.51
2011-01-31,9.92,$0.78,12.7
2010-10-31,9.57,$0.86,11.17
2010-07-31,8.63,$0.97,8.9
2010-04-30,9.6,$1.14,8.46
2010-01-31,7.85,$1.08,7.29
2009-10-31,7.69,$0.89,8.64
