Wix Price to Free Cash Flow Ratio Historical Data,Wix Price to Free Cash Flow Ratio Historical Data,Wix Price to Free Cash Flow Ratio Historical Data,Wix Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,177.24,,30.17
2024-06-30,159.07,$5.87,27.08
2024-03-31,137.48,$4.48,30.7
2023-12-31,123.02,$3.12,39.43
2023-09-30,91.8,$2.40,38.28
2023-06-30,78.24,$1.19,65.56
2023-03-31,99.8,$0.45,221.73
2022-12-31,76.83,$-0.58,0.0
2022-09-30,78.23,$-1.09,0.0
2022-06-30,65.55,$-0.82,0.0
2022-03-31,104.46,$-0.35,0.0
2021-12-31,157.79,$0.49,321.43
2021-09-30,195.97,$0.79,247.0
2021-06-30,290.28,$1.24,233.81
2021-03-31,279.22,$1.86,149.86
2020-12-31,249.96,$2.37,105.3
2020-09-30,254.85,$2.68,95.24
2020-06-30,256.22,$2.90,88.37
2020-03-31,100.82,$2.69,37.49
2019-12-31,122.38,$2.52,48.48
2019-09-30,116.74,$2.46,47.37
2019-06-30,142.1,$2.38,59.79
2019-03-31,120.83,$2.27,53.34
2018-12-31,90.34,$2.12,42.68
2018-09-30,119.7,$1.86,64.41
2018-06-30,100.3,$1.79,55.97
2018-03-31,79.55,$1.68,47.4
2017-12-31,57.55,$1.55,37.09
2017-09-30,71.85,$1.57,45.88
2017-06-30,69.6,$1.37,50.66
2017-03-31,67.9,$1.24,54.6
2016-12-31,44.55,$0.86,51.79
2016-09-30,43.43,$0.62,70.35
2016-06-30,30.35,$0.54,56.3
2016-03-31,20.27,$0.48,42.08
2015-12-31,22.75,$0.46,49.65
2015-09-30,17.42,$0.16,105.96
2015-06-30,23.62,$0.02,1256.38
2014-09-30,16.25,$-0.06,0.0
2014-06-30,19.84,$-0.05,0.0
2014-03-31,22.97,$-0.13,0.0
