F5 Price to Free Cash Flow Ratio Historical Data,F5 Price to Free Cash Flow Ratio Historical Data,F5 Price to Free Cash Flow Ratio Historical Data,F5 Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,203.15,,17.34
2024-06-30,172.23,$11.72,14.7
2024-03-31,189.59,$11.60,16.34
2023-12-31,178.98,$10.17,17.6
2023-09-30,161.14,$9.94,16.21
2023-06-30,146.26,$9.39,15.58
2023-03-31,145.69,$7.95,18.33
2022-12-31,143.51,$7.80,18.4
2022-09-30,144.73,$6.69,21.62
2022-06-30,153.04,$7.33,20.87
2022-03-31,208.95,$9.13,22.89
2021-12-31,244.71,$9.06,27.0
2021-09-30,198.78,$9.90,20.07
2021-06-30,186.66,$9.59,19.46
2021-03-31,208.62,$9.09,22.96
2020-12-31,175.94,$9.92,17.74
2020-09-30,122.77,$9.79,12.54
2020-06-30,139.48,$10.15,13.74
2020-03-31,106.63,$9.72,10.97
2019-12-31,139.65,$9.74,14.33
2019-09-30,140.42,$10.66,13.18
2019-06-30,145.63,$10.58,13.76
2019-03-31,156.93,$11.32,13.86
2018-12-31,162.03,$11.39,14.22
2018-09-30,199.42,$11.43,17.45
2018-06-30,172.45,$11.59,14.88
2018-03-31,144.61,$11.38,12.71
2017-12-31,131.22,$11.11,11.81
2017-09-30,120.56,$10.83,11.13
2017-06-30,127.06,$10.37,12.25
2017-03-31,142.57,$10.24,13.92
2016-12-31,144.72,$9.47,15.28
2016-09-30,124.64,$9.53,13.08
2016-06-30,113.84,$9.08,12.53
2016-03-31,105.85,$8.90,11.9
2015-12-31,96.96,$8.95,10.84
2015-09-30,115.8,$8.60,13.46
2015-06-30,120.35,$8.48,14.19
2015-03-31,114.94,$8.13,14.14
2014-12-31,130.47,$7.32,17.82
2014-09-30,118.74,$6.92,17.17
2014-06-30,111.44,$6.61,16.85
2014-03-31,106.63,$6.34,16.81
2013-12-31,90.86,$6.23,14.59
2013-09-30,85.81,$5.98,14.35
2013-06-30,68.8,$5.90,11.66
2013-03-31,89.08,$5.73,15.54
2012-12-31,97.15,$5.99,16.23
2012-09-30,104.64,$5.84,17.93
2012-06-30,99.56,$5.49,18.13
2012-03-31,134.96,$5.27,25.6
2011-12-31,106.12,$5.13,20.7
2011-09-30,71.05,$4.74,14.98
2011-06-30,110.25,$4.41,25.01
2011-03-31,102.57,$4.15,24.69
2010-12-31,130.16,$4.03,32.27
2010-09-30,103.81,$3.71,27.95
2010-06-30,68.57,$3.36,20.42
2010-03-31,61.63,$3.03,20.31
2009-12-31,52.97,$3.25,16.29
