Archer Daniels Midland Price to Free Cash Flow Ratio Historical Data,Archer Daniels Midland Price to Free Cash Flow Ratio Historical Data,Archer Daniels Midland Price to Free Cash Flow Ratio Historical Data,Archer Daniels Midland Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,60.99,,10.3
2024-06-30,59.94,$5.92,10.12
2024-03-31,61.77,$9.70,6.37
2023-12-31,70.36,$5.47,12.86
2023-09-30,73.03,$0.93,78.53
2023-06-30,72.77,$6.44,11.31
2023-03-31,76.25,$2.84,26.85
2022-12-31,88.39,$3.83,23.05
2022-09-30,76.26,$4.96,15.38
2022-06-30,73.22,$2.98,24.56
2022-03-31,84.78,$6.87,12.34
2021-12-31,63.16,$9.59,6.59
2021-09-30,55.76,$5.83,9.56
2021-06-30,55.97,$0.30,189.68
2021-03-31,52.36,$-3.97,0.0
2020-12-31,45.99,$-5.68,0.0
2020-09-30,42.11,$-6.15,0.0
2020-06-30,35.85,$-7.06,0.0
2020-03-31,31.28,$-8.66,0.0
2019-12-31,40.89,$-11.12,0.0
2019-09-30,35.94,$-9.86,0.0
2019-06-30,35.37,$-9.12,0.0
2019-03-31,37.08,$-7.20,0.0
2018-12-31,34.93,$-9.92,0.0
2018-09-30,42.54,$-12.79,0.0
2018-06-30,38.52,$-14.13,0.0
2018-03-31,36.18,$-16.02,0.0
2017-12-31,33.18,$-12.26,0.0
2017-09-30,34.91,$-20.76,0.0
2017-06-30,33.72,$-15.63,0.0
2017-03-31,37.24,$-15.16,0.0
2016-12-31,36.65,$-12.50,0.0
2016-09-30,33.62,$1.80,18.65
2016-06-30,33.97,$-0.36,0.0
2016-03-31,28.53,$0.98,29.22
2015-12-31,28.55,$0.93,30.56
2015-09-30,32.03,$0.78,41.18
2015-06-30,37.04,$5.26,7.04
2015-03-31,36.21,$6.68,5.42
2014-12-31,39.5,$6.17,6.4
2014-09-30,38.63,$5.96,6.48
2014-06-30,33.19,$4.51,7.36
2014-03-31,32.47,$5.51,5.89
2013-12-31,32.29,$6.51,4.96
2013-09-30,27.28,$9.60,2.84
2013-06-30,24.98,$1.88,13.3
2013-03-31,24.71,$4.29,5.76
2012-12-31,19.95,$2.44,8.19
2012-09-30,19.66,$-0.60,0.0
2012-06-30,21.21,$14.99,1.41
2012-03-31,22.62,$1.65,13.75
2011-12-31,20.32,$-2.17,0.0
2011-09-30,17.52,$-4.15,0.0
2011-03-31,25.16,$-17.94,0.0
2010-12-31,20.93,$-7.31,0.0
2010-09-30,22.1,$-3.43,0.0
2010-06-30,17.79,$-6.19,0.0
2010-03-31,19.8,$3.15,6.28
2009-12-31,21.34,$0.72,29.73
2009-09-30,19.83,$2.33,8.5
