Blackbaud Price to Free Cash Flow Ratio Historical Data,Blackbaud Price to Free Cash Flow Ratio Historical Data,Blackbaud Price to Free Cash Flow Ratio Historical Data,Blackbaud Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,86.34,,21.47
2024-06-30,76.17,$4.02,18.94
2024-03-31,74.14,$3.48,21.29
2023-12-31,86.7,$2.46,35.29
2023-09-30,70.32,$4.51,15.58
2023-03-31,69.3,$2.55,27.15
2022-12-31,58.86,$2.58,22.85
2022-09-30,44.06,$4.43,9.95
2022-06-30,58.07,$3.21,18.09
2022-03-31,59.87,$3.29,18.19
2021-12-31,78.98,$4.14,19.08
2020-12-31,57.56,$1.56,36.83
2020-09-30,55.83,$2.09,26.68
2020-06-30,57.08,$1.16,49.03
2020-03-31,55.55,$1.46,38.14
2019-12-31,79.46,$3.04,26.12
2021-06-30,76.57,$1.53,50.17
2019-09-30,90.05,$2.67,33.72
2019-06-30,83.12,$3.06,27.18
2019-03-31,79.24,$2.63,30.14
2018-12-31,62.42,$3.97,15.73
2018-09-30,100.53,$2.88,34.87
2021-03-31,71.08,$2.12,33.55
2018-06-30,101.38,$2.99,33.96
2018-03-31,100.62,$0.54,185.0
2017-12-31,93.28,$1.50,62.24
2017-09-30,86.57,$1.46,59.13
2017-06-30,84.43,$0.89,95.32
2016-12-31,62.82,$2.32,27.13
2016-09-30,65.0,$3.36,19.36
2016-06-30,66.41,$2.55,26.01
2016-03-31,61.39,$2.55,24.06
2015-12-31,64.15,$3.45,18.59
2017-03-31,75.38,$1.45,52.05
2015-09-30,54.56,$1.89,28.83
2015-06-30,55.25,$1.98,27.97
2015-03-31,45.86,$1.25,36.8
2014-12-31,41.76,$1.93,21.63
2014-09-30,37.82,$1.54,24.48
2023-06-30,71.18,$1.29,55.01
2014-06-30,34.29,$2.07,16.6
2014-03-31,29.93,$-0.75,0.0
2013-12-31,35.87,$1.72,20.88
2013-09-30,37.07,$1.36,27.16
2013-06-30,30.82,$1.09,28.33
2021-09-30,70.35,$3.80,18.52
2013-03-31,27.92,$1.23,22.67
2012-12-31,21.42,$1.05,20.42
2012-09-30,22.32,$0.79,28.12
2012-06-30,23.84,$0.80,29.72
2012-03-31,30.72,$1.08,28.4
2011-12-31,25.51,$1.52,16.77
2011-09-30,20.42,$1.40,14.53
2011-06-30,25.28,$1.32,19.14
2011-03-31,24.74,$1.37,18.12
2010-12-31,23.41,$1.03,22.77
2010-09-30,21.63,$1.46,14.86
2010-06-30,19.49,$1.54,12.68
2010-03-31,22.47,$1.65,13.59
2009-12-31,20.96,$1.87,11.24
