Chimera Investment Price to Free Cash Flow Ratio Historical Data,Chimera Investment Price to Free Cash Flow Ratio Historical Data,Chimera Investment Price to Free Cash Flow Ratio Historical Data,Chimera Investment Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,16.19,,6.41
2024-06-30,12.51,$2.53,4.95
2024-03-31,12.83,$3.06,4.19
2023-12-31,13.89,$2.75,5.05
2023-09-30,14.87,$2.71,5.49
2023-06-30,15.21,$2.64,5.76
2023-03-31,14.41,$2.85,5.06
2022-12-31,13.48,$4.18,3.23
2022-09-30,12.3,$5.10,2.41
2022-06-30,19.91,$6.42,3.1
2022-03-31,26.2,$6.66,3.93
2021-12-31,31.95,$6.35,5.04
2021-09-30,30.79,$6.49,4.74
2021-06-30,30.55,$6.37,4.8
2021-03-31,25.21,$11.55,2.18
2020-12-31,19.88,$3.42,5.82
2020-09-30,15.45,$5.38,2.87
2020-06-30,17.49,$3.65,4.79
2020-03-31,16.09,$-4.70,0.0
2019-12-31,34.69,$1.04,33.49
2019-09-30,32.22,$-5.38,0.0
2019-06-30,30.31,$-2.49,0.0
2019-03-31,29.32,$0.60,48.89
2018-12-31,27.16,$4.76,5.71
2018-09-30,26.9,$10.67,2.52
2018-06-30,26.39,$9.74,2.71
2018-03-31,24.47,$9.95,2.46
2017-12-31,25.25,$7.76,3.25
2017-09-30,25.18,$9.54,2.64
2017-06-30,24.15,$9.92,2.43
2017-03-31,25.49,$8.08,3.15
2016-12-31,20.98,$8.82,2.38
2016-09-30,19.1,$6.32,3.02
2016-06-30,18.26,$4.97,3.67
2016-03-31,15.32,$7.18,2.14
2015-12-31,14.32,$5.96,2.4
2015-09-30,13.57,$4.25,3.19
2015-06-30,13.43,$4.98,2.7
2015-03-31,14.87,$2.23,6.67
2014-12-31,14.61,$2.67,5.48
2014-09-30,13.59,$3.52,3.86
2014-06-30,13.86,$2.96,4.68
2014-03-31,12.93,$4.42,2.93
2013-12-31,11.94,$4.45,2.68
2013-09-30,11.05,$4.12,2.68
2013-06-30,10.9,$4.11,2.65
2013-03-31,11.25,$4.48,2.51
2012-12-31,8.96,$4.89,1.83
2012-09-30,9.0,$5.53,1.63
2012-06-30,7.58,$6.05,1.25
2012-03-31,8.77,$6.37,1.38
2011-12-31,7.49,$6.54,1.14
2011-09-30,7.93,$6.87,1.15
2011-06-30,9.48,$7.44,1.27
2011-03-31,10.45,$7.43,1.41
2010-12-31,10.48,$8.57,1.22
2010-09-30,9.67,$7.83,1.24
2010-03-31,8.73,$5.50,1.59
2009-12-31,8.35,$4.99,1.67
2009-09-30,7.88,$5.28,1.49
