Novartis AG Price to Free Cash Flow Ratio Historical Data,Novartis AG Price to Free Cash Flow Ratio Historical Data,Novartis AG Price to Free Cash Flow Ratio Historical Data,Novartis AG Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,116.51,,17.02
2024-06-30,106.46,$6.85,15.55
2024-03-31,96.73,$6.19,15.64
2023-12-31,97.29,$6.52,14.93
2023-09-30,98.15,$7.20,13.62
2023-06-30,97.23,$6.84,14.21
2023-03-31,88.65,$6.82,12.99
2022-12-31,83.75,$6.13,13.65
2022-09-30,70.17,$5.93,11.84
2022-06-30,78.04,$5.84,13.37
2022-03-31,81.01,$5.94,13.64
2021-12-31,77.54,$6.17,12.58
2021-09-30,72.49,$6.19,11.71
2021-06-30,80.88,$5.38,15.04
2021-03-31,75.77,$5.29,14.33
2020-12-31,80.62,$5.43,14.85
2020-09-30,74.24,$5.17,14.35
2020-06-30,74.56,$5.79,12.88
2020-03-31,70.39,$5.67,12.41
2019-12-31,77.96,$5.65,13.8
2019-09-30,71.55,$5.77,12.4
2019-06-30,75.18,$5.60,13.43
2019-03-31,69.5,$5.64,12.32
2018-12-31,62.03,$5.60,11.08
2018-09-30,62.28,$5.35,11.65
2018-06-30,54.61,$5.03,10.86
2018-03-31,58.44,$4.87,12.0
2017-12-31,58.58,$4.63,12.65
2017-09-30,59.9,$4.70,12.74
2017-06-30,58.24,$4.24,13.75
2017-03-31,51.82,$4.00,12.94
2016-12-31,49.06,$4.01,12.23
2016-09-30,53.19,$3.96,13.43
2016-06-30,55.58,$4.28,13.0
2016-03-31,48.79,$4.15,11.77
2015-12-31,55.84,$4.06,13.74
2015-09-30,59.65,$4.58,13.01
2015-06-30,63.82,$4.57,13.95
2015-03-31,64.0,$4.91,13.02
2014-12-31,58.49,$4.67,12.52
2014-09-30,59.42,$4.23,14.04
2014-06-30,57.14,$4.49,12.72
2014-03-31,53.67,$3.96,13.57
2013-12-31,49.09,$4.16,11.79
2013-09-30,46.85,$4.33,10.81
2013-06-30,43.19,$4.32,10.0
2013-03-31,43.51,$4.49,9.69
2012-12-31,37.25,$4.83,7.71
2012-09-30,36.05,$4.80,7.51
2012-06-30,32.9,$4.84,6.79
2012-03-31,32.61,$5.25,6.21
2011-12-31,32.2,$5.06,6.37
2011-09-30,31.42,$6.56,4.79
2011-06-30,34.42,$6.20,5.55
2011-03-31,30.62,$6.14,4.99
2010-12-31,31.84,$7.07,4.5
2010-06-30,26.1,$5.37,4.86
2010-03-31,29.22,$5.16,5.67
2009-12-31,28.36,$4.55,6.24
2009-09-30,26.25,$6.63,3.96
