Morgan Stanley Price to Free Cash Flow Ratio Historical Data,Morgan Stanley Price to Free Cash Flow Ratio Historical Data,Morgan Stanley Price to Free Cash Flow Ratio Historical Data,Morgan Stanley Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,103.61,,0.0
2024-06-30,96.33,$-6.43,0.0
2024-03-31,92.47,$-13.89,0.0
2023-12-31,90.7,$-22.45,0.0
2023-09-30,78.49,$-19.77,0.0
2023-06-30,81.32,$-26.26,0.0
2023-03-31,82.89,$-11.66,0.0
2022-12-31,79.62,$-5.53,0.0
2022-09-30,73.3,$2.93,25.0
2022-06-30,69.91,$8.86,7.89
2022-03-31,79.67,$2.72,29.25
2021-12-31,88.86,$17.45,5.09
2021-09-30,87.5,$1.69,51.74
2021-06-30,81.85,$-3.89,0.0
2021-03-31,69.04,$-16.86,0.0
2020-12-31,60.61,$-16.43,0.0
2020-09-30,42.46,$-0.97,0.0
2020-06-30,42.11,$11.71,3.6
2020-03-31,29.39,$28.83,1.02
2019-12-31,43.91,$23.75,1.85
2019-09-30,36.37,$19.78,1.84
2019-06-30,37.05,$19.75,1.88
2019-03-31,35.47,$6.07,5.85
2018-12-31,33.1,$3.13,10.57
2018-09-30,38.61,$9.58,4.03
2018-06-30,39.07,$4.20,9.31
2018-03-31,44.26,$3.68,12.02
2017-12-31,42.85,$-3.37,0.0
2017-09-30,39.15,$-6.86,0.0
2017-06-30,36.02,$-14.20,0.0
2017-03-31,34.47,$0.02,1853.42
2016-12-31,33.84,$2.18,15.55
2016-09-30,25.53,$5.28,4.84
2016-06-30,20.55,$9.89,2.08
2016-03-31,19.67,$5.84,3.37
2015-12-31,24.87,$-2.99,0.0
2015-09-30,24.52,$-8.16,0.0
2015-06-30,30.08,$-7.33,0.0
2015-03-31,27.57,$-9.19,0.0
2014-12-31,29.88,$0.05,626.42
2014-09-30,26.55,$12.77,2.08
2014-06-30,24.75,$10.84,2.28
2014-03-31,23.78,$17.47,1.36
2013-12-31,23.89,$17.22,1.39
2013-09-30,20.49,$8.71,2.35
2013-06-30,18.54,$12.44,1.49
2013-03-31,16.64,$10.25,1.62
2012-12-31,14.45,$12.22,1.18
2012-09-30,12.61,$14.75,0.86
2012-06-30,10.95,$21.34,0.51
2012-03-31,14.7,$13.73,1.07
2011-12-31,11.29,$8.40,1.34
2011-09-30,10.06,$20.39,0.49
2011-06-30,17.1,$7.34,2.33
2011-03-31,20.26,$13.86,1.46
2010-12-31,20.14,$27.93,0.72
2010-09-30,18.23,$11.97,1.52
2010-06-30,17.11,$13.45,1.27
2010-03-31,21.56,$4.96,4.35
2009-12-31,21.75,$-41.19,0.0
