PAR Technology Price to Free Cash Flow Ratio Historical Data,PAR Technology Price to Free Cash Flow Ratio Historical Data,PAR Technology Price to Free Cash Flow Ratio Historical Data,PAR Technology Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,60.97,,0.0
2024-06-30,47.09,$-1.55,0.0
2024-03-31,45.36,$-1.20,0.0
2023-12-31,43.54,$-1.01,0.0
2023-09-30,38.54,$-1.40,0.0
2023-06-30,32.93,$-1.21,0.0
2023-03-31,33.96,$-1.67,0.0
2022-12-31,26.07,$-1.87,0.0
2022-09-30,29.53,$-1.97,0.0
2022-06-30,37.49,$-2.29,0.0
2022-03-31,40.34,$-3.07,0.0
2021-12-31,52.77,$-2.45,0.0
2021-09-30,61.51,$-2.30,0.0
2021-06-30,69.94,$-2.01,0.0
2021-03-31,65.41,$-0.83,0.0
2020-12-31,62.79,$-1.55,0.0
2020-09-30,40.51,$-1.70,0.0
2020-06-30,29.93,$-2.09,0.0
2020-03-31,12.86,$-2.35,0.0
2019-12-31,30.74,$-1.70,0.0
2019-09-30,23.77,$-1.40,0.0
2019-03-31,24.14,$-0.79,0.0
2018-12-31,21.47,$-0.73,0.0
2018-09-30,21.93,$-0.06,0.0
2018-06-30,17.45,$-0.04,0.0
2018-03-31,13.91,$-0.51,0.0
2017-12-31,9.23,$-0.54,0.0
2017-09-30,10.3,$-0.19,0.0
2017-06-30,8.4,$-0.30,0.0
2017-03-31,7.08,$0.16,45.34
2016-12-31,5.51,$0.31,17.77
2016-09-30,5.29,$-0.54,0.0
2016-06-30,4.73,$-0.15,0.0
2016-03-31,6.54,$-0.35,0.0
2015-12-31,6.64,$-0.21,0.0
2015-09-30,5.22,$0.07,70.75
2015-06-30,4.85,$-0.15,0.0
2015-03-31,4.14,$0.18,22.55
2014-12-31,6.07,$0.20,30.77
2014-09-30,4.84,$0.03,140.59
2014-06-30,4.15,$0.22,18.83
2014-03-31,4.83,$-0.24,0.0
2013-12-31,5.38,$-0.59,0.0
2013-09-30,4.88,$-0.51,0.0
2013-06-30,3.98,$-0.38,0.0
2013-03-31,4.65,$-0.06,0.0
2012-12-31,4.84,$0.53,9.11
2012-09-30,5.38,$0.89,6.02
2012-06-30,4.87,$0.85,5.74
2012-03-31,4.85,$1.05,4.61
2011-12-31,3.89,$0.66,5.92
2011-09-30,3.31,$-0.25,0.0
2011-06-30,3.78,$0.02,248.7
2019-06-30,27.83,$-0.15,0.0
2011-03-31,4.5,$-0.17,0.0
2010-12-31,5.64,$0.57,9.92
2010-09-30,6.07,$0.21,29.44
2010-06-30,5.07,$0.08,59.9
2010-03-31,5.97,$0.58,10.21
2009-12-31,5.71,$0.33,17.04
