Cenovus Energy Inc Price to Free Cash Flow Ratio Historical Data,Cenovus Energy Inc Price to Free Cash Flow Ratio Historical Data,Cenovus Energy Inc Price to Free Cash Flow Ratio Historical Data,Cenovus Energy Inc Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,16.98,,3.51
2024-06-30,19.44,$4.84,4.01
2024-03-31,19.53,$4.13,4.73
2023-12-31,16.18,$2.84,5.69
2023-09-30,20.11,$1.14,17.61
2023-06-30,16.32,$1.73,9.45
2023-03-31,16.67,$2.19,7.62
2022-12-31,18.45,$2.95,6.25
2022-09-30,14.49,$2.85,5.08
2022-06-30,17.85,$2.17,8.21
2022-03-31,15.6,$1.67,9.33
2021-12-31,11.47,$1.31,8.76
2021-09-30,9.37,$0.78,11.98
2021-06-30,8.91,$0.53,16.68
2021-03-31,6.98,$-0.37,0.0
2020-12-31,5.6,$-0.36,0.0
2020-09-30,3.61,$-0.11,0.0
2020-06-30,4.33,$-0.09,0.0
2020-03-31,1.87,$1.11,1.69
2019-12-31,9.25,$1.29,7.18
2019-09-30,8.51,$1.16,7.31
2019-06-30,7.97,$1.44,5.53
2019-03-31,7.81,$0.98,7.98
2018-12-31,6.3,$0.49,12.91
2018-09-30,8.94,$0.63,14.11
2018-06-30,9.21,$0.09,99.82
2018-03-31,7.55,$0.54,14.02
2017-12-31,8.03,$0.97,8.27
2017-09-30,8.78,$0.61,14.3
2017-06-30,6.43,$0.63,10.2
2017-03-31,9.81,$-0.02,0.0
2016-12-31,13.1,$-0.16,0.0
2016-09-30,12.41,$-3.25,0.0
2016-06-30,11.9,$-0.21,0.0
2016-03-31,11.16,$-0.10,0.0
2015-12-31,10.81,$-0.23,0.0
2015-09-30,12.86,$2.89,4.44
2015-06-30,13.46,$0.66,20.37
2015-03-31,14.01,$1.09,12.83
2014-12-31,16.91,$0.89,18.91
2014-09-30,21.76,$1.05,20.76
2014-06-30,26.0,$0.27,94.79
2014-03-31,23.07,$-0.07,0.0
2013-12-31,22.62,$0.35,65.3
2013-09-30,23.38,$0.01,0.0
2013-06-30,22.17,$0.06,401.59
2013-03-31,23.89,$0.35,68.01
2012-12-31,25.67,$0.06,413.97
2012-09-30,26.49,$0.53,50.4
2012-06-30,24.02,$0.73,32.75
2012-03-31,26.96,$0.68,39.46
2011-12-31,24.76,$0.87,28.32
2011-09-30,22.76,$3.38,6.73
2011-06-30,27.74,$3.20,8.66
2011-03-31,28.84,$2.80,10.3
2010-12-31,24.2,$3.35,7.23
2010-09-30,20.81,$2.75,7.57
