SiriusPoint Price to Free Cash Flow Ratio Historical Data,SiriusPoint Price to Free Cash Flow Ratio Historical Data,SiriusPoint Price to Free Cash Flow Ratio Historical Data,SiriusPoint Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,14.01,,8.34
2024-06-30,12.2,$1.68,7.26
2024-03-31,12.71,$3.17,4.01
2023-12-31,11.6,$3.43,3.38
2023-09-30,10.17,$2.48,4.09
2023-06-30,9.03,$2.79,3.24
2023-03-31,8.13,$2.40,3.38
2022-12-31,5.9,$1.83,3.22
2022-09-30,4.95,$1.37,3.6
2022-06-30,5.42,$0.22,25.14
2022-03-31,7.48,$0.42,17.63
2021-12-31,8.13,$0.01,759.81
2021-09-30,9.26,$0.47,19.82
2021-06-30,10.07,$0.54,18.72
2021-03-31,10.17,$0.41,24.79
2020-12-31,9.52,$0.79,12.07
2020-09-30,6.95,$0.96,7.25
2020-06-30,7.51,$0.80,9.43
2020-03-31,7.41,$1.24,5.98
2019-12-31,10.52,$1.52,6.91
2019-09-30,9.99,$0.96,10.35
2019-06-30,10.32,$1.07,9.66
2019-03-31,10.38,$0.76,13.72
2018-12-31,9.64,$0.15,66.21
2018-09-30,13.0,$-0.82,0.0
2018-06-30,12.5,$-0.45,0.0
2018-03-31,13.95,$-0.93,0.0
2017-12-31,14.65,$-0.74,0.0
2017-09-30,15.6,$0.30,52.68
2017-06-30,13.9,$-0.39,0.0
2017-03-31,12.1,$-0.25,0.0
2016-12-31,11.55,$0.05,255.53
2016-09-30,12.0,$0.02,628.27
2016-06-30,11.72,$0.85,13.79
2016-03-31,11.37,$0.82,13.92
2015-12-31,13.41,$1.81,7.43
2015-09-30,13.45,$2.45,5.49
2015-06-30,14.75,$2.14,6.9
2015-03-31,14.15,$2.19,6.48
2014-12-31,14.49,$1.15,12.59
2014-09-30,14.55,$0.12,121.15
2014-06-30,15.26,$0.46,33.25
