MGIC Investment Price to Free Cash Flow Ratio Historical Data,MGIC Investment Price to Free Cash Flow Ratio Historical Data,MGIC Investment Price to Free Cash Flow Ratio Historical Data,MGIC Investment Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,26.39,,10.15
2024-06-30,21.43,$2.60,8.24
2024-03-31,22.12,$2.46,8.98
2023-12-31,18.97,$2.48,7.64
2023-09-30,16.3,$2.35,6.93
2023-06-30,15.33,$2.16,7.09
2023-03-31,12.94,$2.10,6.17
2022-12-31,12.44,$2.08,5.99
2022-09-30,12.18,$2.10,5.81
2022-06-30,11.89,$2.14,5.55
2022-03-31,12.71,$2.12,6.01
2021-12-31,13.45,$1.97,6.83
2021-09-30,13.89,$2.05,6.76
2021-06-30,12.56,$1.77,7.09
2021-03-31,12.73,$2.08,6.12
2020-12-31,11.48,$2.03,5.66
2020-09-30,8.06,$1.81,4.44
2020-06-30,7.4,$2.11,3.51
2020-03-31,5.69,$1.68,3.39
2019-12-31,12.65,$1.62,7.83
2019-09-30,11.18,$1.62,6.91
2019-06-30,11.62,$1.46,7.97
2019-03-31,11.67,$1.48,7.87
2018-12-31,9.25,$1.37,6.74
2018-09-30,11.77,$1.34,8.79
2018-06-30,9.48,$1.35,7.03
2018-03-31,11.5,$1.14,10.12
2017-12-31,12.48,$0.99,12.61
2017-09-30,11.08,$0.77,14.47
2017-06-30,9.91,$0.67,14.73
2017-03-31,8.96,$0.67,13.28
2016-12-31,9.01,$0.50,18.17
2016-09-30,7.08,$0.41,17.38
2016-06-30,5.26,$0.59,8.88
2016-03-31,6.78,$0.41,16.55
2015-12-31,7.81,$0.33,23.32
2015-09-30,8.19,$0.12,69.94
2015-06-30,10.06,$-0.45,0.0
2015-03-31,8.52,$-0.67,0.0
2014-12-31,8.24,$-0.99,0.0
2014-09-30,6.91,$-1.90,0.0
2014-06-30,8.17,$-2.30,0.0
2014-03-31,7.54,$-2.42,0.0
2013-12-31,7.46,$-3.12,0.0
2013-09-30,6.44,$-4.01,0.0
2013-06-30,5.37,$-5.04,0.0
2013-03-31,4.38,$-6.75,0.0
2012-12-31,2.35,$-7.77,0.0
2012-09-30,1.35,$-8.13,0.0
2012-06-30,2.55,$-8.74,0.0
2012-03-31,4.39,$-9.38,0.0
2011-12-31,3.3,$-9.37,0.0
2011-09-30,1.65,$-9.74,0.0
2011-06-30,5.26,$-8.81,0.0
2011-03-31,7.86,$-5.48,0.0
2010-12-31,9.01,$-4.96,0.0
2010-09-30,8.16,$-2.97,0.0
2010-06-30,6.09,$-1.81,0.0
2010-03-31,9.7,$-2.39,0.0
2009-12-31,5.11,$2.66,1.92
