ZTO Express (Cayman) Price to Free Cash Flow Ratio Historical Data,ZTO Express (Cayman) Price to Free Cash Flow Ratio Historical Data,ZTO Express (Cayman) Price to Free Cash Flow Ratio Historical Data,ZTO Express (Cayman) Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,24.77,,19.0
2024-06-30,20.42,$1.30,15.67
2024-03-31,20.0,$1.03,19.36
2023-12-31,20.33,$1.17,17.36
2023-09-30,23.09,$1.02,22.57
2023-06-30,23.96,$0.83,28.73
2023-03-31,27.02,$1.06,25.53
2022-12-31,25.34,$0.80,31.68
2022-09-30,22.66,$0.33,69.4
2022-06-30,25.88,$-0.34,0.0
2022-03-31,23.34,$-0.07,0.0
2021-12-31,26.35,$-0.20,0.0
2021-09-30,28.63,$-0.19,0.0
2021-06-30,28.34,$0.23,125.95
2021-03-31,26.98,$-0.38,0.0
2020-12-31,26.99,$-0.44,0.0
2020-09-30,27.69,$0.13,215.18
2020-06-30,33.98,$-0.39,0.0
2020-03-31,24.25,$0.22,111.37
2019-12-31,21.38,$0.31,69.96
2019-09-30,19.53,$0.45,43.28
2019-06-30,17.51,$0.34,51.28
2019-03-31,16.74,$0.28,59.63
2018-12-31,14.31,$0.21,68.55
2018-09-30,14.98,$0.23,64.16
2018-06-30,18.07,$0.33,55.21
2018-03-31,13.55,$0.21,65.16
2017-12-31,14.14,$0.23,62.35
