Conagra Brands Price to Free Cash Flow Ratio Historical Data,Conagra Brands Price to Free Cash Flow Ratio Historical Data,Conagra Brands Price to Free Cash Flow Ratio Historical Data,Conagra Brands Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,31.2,,9.2
2024-05-31,29.54,$3.39,8.71
2024-02-29,27.45,$2.95,9.29
2023-11-30,27.33,$2.43,11.26
2023-08-31,28.49,$1.66,17.19
2023-05-31,32.9,$1.32,24.85
2023-02-28,34.06,$1.59,21.37
2022-11-30,35.21,$1.72,20.44
2022-08-31,31.58,$1.84,17.17
2022-05-31,29.92,$1.52,19.68
2022-02-28,31.54,$1.44,21.96
2021-11-30,27.31,$1.48,18.5
2021-08-31,29.33,$1.66,17.62
2021-05-31,33.42,$1.98,16.91
2021-02-28,29.54,$3.10,9.54
2020-11-30,31.58,$3.06,10.31
2020-08-31,32.88,$3.12,10.54
2020-05-31,29.65,$3.04,9.74
2020-02-29,22.61,$2.01,11.26
2019-11-30,24.3,$1.95,12.47
2019-08-31,23.69,$1.93,12.3
2019-05-31,22.19,$1.78,12.44
2019-02-28,19.24,$1.18,16.37
2018-11-30,26.63,$1.35,19.73
2018-08-31,30.08,$1.58,19.07
2018-05-31,30.16,$1.74,17.29
2018-02-28,29.23,$2.23,13.12
2017-11-30,30.04,$1.91,15.69
2017-08-31,26.12,$1.78,14.66
2017-05-31,30.82,$2.16,14.28
2017-02-28,32.79,$2.59,12.66
2016-11-30,29.04,$2.72,10.69
2016-08-31,28.47,$2.92,9.75
2016-05-31,27.76,$2.32,11.96
2016-02-29,25.41,$3.08,8.24
2015-11-30,24.57,$2.92,8.41
2015-08-31,24.87,$2.61,9.52
2015-05-31,22.9,$2.94,7.79
2015-02-28,20.61,$2.72,7.57
2014-11-30,21.37,$2.74,7.81
2014-08-31,18.71,$3.07,6.1
2014-05-31,18.61,$2.72,6.85
2014-02-28,16.23,$2.40,6.77
2013-11-30,18.71,$2.27,8.25
2013-08-31,19.03,$1.85,10.28
2013-05-31,18.83,$2.41,7.8
2013-02-28,18.93,$1.64,11.57
2012-11-30,16.45,$1.67,9.84
2012-08-31,13.71,$1.75,7.82
2012-05-31,13.59,$1.74,7.83
2012-02-29,14.06,$2.02,6.97
2011-11-30,13.41,$2.61,5.14
2011-08-31,12.84,$2.66,4.82
2011-05-31,13.25,$2.08,6.36
2011-02-28,11.96,$2.11,5.67
2010-11-30,10.98,$1.75,6.28
2010-08-31,10.92,$2.04,5.35
2010-05-31,12.13,$2.41,5.03
2010-02-28,12.17,$2.55,4.77
2009-11-30,10.95,$0.31,35.32
