Beazer Homes USA Price to Free Cash Flow Ratio Historical Data,Beazer Homes USA Price to Free Cash Flow Ratio Historical Data,Beazer Homes USA Price to Free Cash Flow Ratio Historical Data,Beazer Homes USA Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,33.3,,0.0
2024-06-30,27.48,$-8.48,0.0
2024-03-31,32.8,$-3.98,0.0
2023-12-31,33.79,$0.64,52.76
2023-09-30,24.91,$5.14,4.84
2023-06-30,28.29,$10.49,2.7
2023-03-31,15.88,$5.30,3.0
2022-12-31,12.76,$1.83,6.99
2022-09-30,9.67,$2.16,4.49
2022-06-30,12.07,$-7.35,0.0
2022-03-31,15.22,$-2.96,0.0
2021-12-31,23.22,$0.52,44.36
2021-09-30,17.25,$0.57,30.06
2021-06-30,19.29,$9.82,1.97
2021-03-31,20.92,$12.47,1.68
2020-12-31,15.15,$9.63,1.57
2020-09-30,13.2,$9.31,1.42
2020-06-30,10.07,$8.38,1.2
2020-03-31,6.44,$4.39,1.47
2019-12-31,14.13,$2.04,6.94
2019-09-30,14.9,$3.02,4.93
2019-06-30,9.61,$2.06,4.66
2019-03-31,11.51,$1.91,6.03
2018-12-31,9.48,$2.59,3.66
2018-09-30,10.5,$1.19,8.84
2018-06-30,14.75,$-0.14,0.0
2018-03-31,15.95,$1.49,10.69
2017-12-31,19.21,$1.62,11.89
2017-09-30,18.74,$2.86,6.55
2017-06-30,13.72,$4.52,3.03
2017-03-31,12.13,$4.39,2.76
2016-12-31,13.3,$5.22,2.55
2016-09-30,11.66,$4.82,2.42
2016-06-30,7.75,$3.61,2.15
2016-03-31,8.72,$2.90,3.01
2015-12-31,11.49,$1.13,10.2
2015-09-30,13.33,$-3.05,0.0
2015-06-30,19.95,$-5.67,0.0
2015-03-31,17.72,$-8.77,0.0
2014-12-31,19.36,$-12.14,0.0
2014-09-30,16.78,$-4.76,0.0
2014-03-31,20.08,$-11.96,0.0
2013-12-31,24.42,$-8.53,0.0
2013-09-30,18.0,$-7.52,0.0
2013-06-30,17.52,$-4.20,0.0
2013-03-31,15.84,$0.57,27.93
2012-12-31,16.89,$-1.16,0.0
2012-09-30,17.75,$-2.07,0.0
2012-06-30,16.25,$-0.03,0.0
2012-03-31,16.25,$-9.93,0.0
2011-12-31,12.4,$-18.06,0.0
2011-09-30,7.55,$-8.13,0.0
2011-06-30,16.95,$-16.03,0.0
2010-12-31,26.95,$2.71,9.94
2010-09-30,20.65,$4.92,4.2
2010-06-30,18.15,$23.75,0.76
2010-03-31,22.7,$13.10,1.73
2009-12-31,24.2,$2.29,10.57
2009-09-30,27.95,$22.52,1.24
2011-03-31,22.85,$-12.97,0.0
