Graphic Packaging Holding Price to Free Cash Flow Ratio Historical Data,Graphic Packaging Holding Price to Free Cash Flow Ratio Historical Data,Graphic Packaging Holding Price to Free Cash Flow Ratio Historical Data,Graphic Packaging Holding Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,29.78,,612.76
2024-06-30,26.12,$0.05,537.5
2024-03-31,28.98,$0.48,60.62
2023-12-31,24.39,$1.10,22.17
2023-09-30,21.96,$1.54,14.27
2023-06-30,23.58,$1.68,14.04
2023-03-31,24.92,$1.97,12.64
2022-12-31,21.66,$1.75,12.39
2022-09-30,19.13,$0.33,57.14
2022-06-30,19.8,$-0.74,0.0
2022-03-31,19.29,$-0.97,0.0
2021-12-31,18.69,$-0.65,0.0
2021-09-30,18.18,$0.36,51.09
2021-06-30,17.26,$1.08,15.94
2021-03-31,17.2,$1.11,15.48
2020-12-31,15.98,$0.64,24.96
2020-09-30,13.23,$0.69,19.25
2020-06-30,13.07,$0.81,16.06
2020-03-31,11.33,$1.10,10.3
2019-12-31,15.37,$1.06,14.48
2019-09-30,13.56,$-0.25,0.0
2019-06-30,12.78,$-1.13,0.0
2019-03-31,11.49,$-2.26,0.0
2018-12-31,9.62,$-2.32,0.0
2018-09-30,12.58,$-2.24,0.0
2018-06-30,12.96,$-2.15,0.0
2018-03-31,13.64,$-1.80,0.0
2017-12-31,13.66,$-1.43,0.0
2017-09-30,12.27,$-2.13,0.0
2017-06-30,12.06,$-1.67,0.0
2017-03-31,11.2,$-1.08,0.0
2016-12-31,10.79,$-0.69,0.0
2016-09-30,12.03,$0.96,12.59
2016-06-30,10.74,$1.08,9.94
2016-03-31,10.97,$1.01,10.91
2015-12-31,10.91,$1.04,10.45
2015-09-30,10.83,$0.96,11.25
2015-06-30,11.75,$1.01,11.67
2015-03-31,12.23,$0.48,25.48
2014-12-31,11.41,$0.99,11.56
2014-09-30,10.41,$0.98,10.65
2014-06-30,9.8,$0.77,12.68
2013-12-31,8.04,$0.92,8.73
2013-09-30,7.17,$1.11,6.49
2013-06-30,6.49,$0.79,8.22
2013-03-31,6.28,$0.85,7.41
2012-12-31,5.41,$1.18,4.59
2014-03-31,8.51,$0.57,14.94
2012-09-30,4.87,$0.82,5.97
2012-06-30,4.61,$0.88,5.25
2012-03-31,4.63,$0.59,7.89
2011-12-31,3.57,$0.95,3.76
2011-09-30,2.89,$0.69,4.2
2011-03-31,4.54,$0.66,6.91
2010-12-31,3.26,$0.62,5.26
2010-09-30,2.8,$1.26,2.21
2010-06-30,2.64,$0.59,4.47
2010-03-31,3.02,$0.65,4.68
2009-12-31,2.91,$1.21,2.41
2011-06-30,4.56,$0.12,37.45
