Real Brokerage Price to Free Cash Flow Ratio Historical Data,Real Brokerage Price to Free Cash Flow Ratio Historical Data,Real Brokerage Price to Free Cash Flow Ratio Historical Data,Real Brokerage Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,5.2,,42.8
2024-06-30,4.06,$0.12,33.42
2024-03-31,3.12,$0.17,18.08
2023-12-31,1.6,$0.11,14.81
2023-09-30,1.45,$0.12,12.34
2023-06-30,1.91,$0.14,14.14
2023-03-31,1.21,$0.02,66.48
2022-12-31,1.05,$0.03,40.86
2022-09-30,1.44,$0.04,32.95
2022-06-30,1.52,$0.07,21.62
2022-03-31,2.27,$0.07,33.58
