Albany Price to Free Cash Flow Ratio Historical Data,Albany Price to Free Cash Flow Ratio Historical Data,Albany Price to Free Cash Flow Ratio Historical Data,Albany Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,75.39,,18.11
2024-06-30,84.2,$4.16,20.23
2024-03-31,93.24,$2.53,36.87
2023-12-31,97.66,$2.03,48.0
2023-09-30,85.55,$1.34,63.91
2023-06-30,92.25,$0.31,297.38
2023-03-31,88.12,$0.63,140.28
2022-12-31,96.96,$1.01,95.7
2022-09-30,77.33,$1.92,40.25
2022-06-30,77.1,$2.86,26.94
2022-03-31,82.31,$3.73,22.06
2021-12-31,86.14,$5.05,17.07
2021-09-30,74.68,$5.00,14.94
2021-06-30,86.5,$4.58,18.88
2021-03-31,80.7,$4.28,18.86
2020-12-31,70.82,$3.02,23.42
2020-09-30,47.63,$3.31,14.37
2020-06-30,56.27,$3.30,17.04
2020-03-31,45.23,$3.38,13.39
2019-12-31,72.2,$4.10,17.63
2019-09-30,85.54,$3.91,21.88
2019-06-30,78.48,$3.71,21.18
2019-03-31,67.6,$2.73,24.76
2018-12-31,58.8,$1.54,38.29
2018-09-30,74.65,$0.56,134.29
2018-06-30,56.36,$-0.09,0.0
2018-03-31,58.59,$-0.88,0.0
2017-12-31,57.28,$-0.73,0.0
2017-09-30,53.36,$-1.09,0.0
2017-06-30,49.48,$-0.96,0.0
2017-03-31,42.52,$-0.61,0.0
2016-12-31,42.59,$0.23,183.99
2016-09-30,38.85,$0.95,41.07
2016-06-30,36.45,$1.76,20.75
2016-03-31,34.16,$1.58,21.67
2015-12-31,33.07,$1.48,22.38
2015-09-30,25.77,$0.84,30.71
2015-06-30,35.64,$-0.07,0.0
2015-03-31,35.44,$0.80,44.37
2014-12-31,33.74,$0.79,42.62
2014-09-30,30.09,$0.00,0.0
2014-06-30,33.42,$0.25,131.56
2014-03-31,31.15,$0.04,776.79
2013-12-31,31.36,$-0.06,0.0
2013-09-30,30.96,$1.53,20.21
2013-06-30,28.13,$2.19,12.82
2013-03-31,24.41,$1.12,21.83
2012-12-31,18.98,$-0.09,0.0
2012-09-30,18.15,$-0.42,0.0
2012-06-30,15.26,$-0.88,0.0
2012-03-31,18.43,$0.46,40.14
2011-12-31,18.18,$2.43,7.48
2011-09-30,14.04,$2.31,6.08
2011-06-30,19.77,$1.88,10.5
2011-03-31,18.27,$2.37,7.71
2010-12-31,17.04,$2.18,7.82
2010-09-30,13.35,$1.20,11.12
2010-06-30,11.14,$1.53,7.26
2010-03-31,14.46,$0.30,47.95
2009-12-31,14.74,$-0.93,0.0
