Disc Medicine Price to Free Cash Flow Ratio Historical Data,Disc Medicine Price to Free Cash Flow Ratio Historical Data,Disc Medicine Price to Free Cash Flow Ratio Historical Data,Disc Medicine Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,50.49,,0.0
2024-06-30,45.07,$-2.96,0.0
2024-03-31,62.26,$-2.78,0.0
2023-12-31,57.76,$-3.30,0.0
2023-09-30,46.98,$-9.01,0.0
2023-06-30,44.4,$-18.70,0.0
2023-03-31,21.19,$-27.75,0.0
2022-12-31,19.89,$-40.81,0.0
2022-09-30,1.64,$-54.60,0.0
2022-06-30,1.69,$-48.60,0.0
2022-03-31,1.39,$-41.69,0.0
2021-12-31,2.91,$-31.44,0.0
2021-09-30,4.04,$-16.96,0.0
2021-06-30,6.47,$-28.84,0.0
