Star Bulk Carriers Price to Free Cash Flow Ratio Historical Data,Star Bulk Carriers Price to Free Cash Flow Ratio Historical Data,Star Bulk Carriers Price to Free Cash Flow Ratio Historical Data,Star Bulk Carriers Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,20.17,,2.85
2024-06-30,23.6,$7.08,3.34
2024-03-31,22.44,$7.21,3.11
2023-12-31,19.62,$5.75,3.41
2023-09-30,17.62,$5.57,3.16
2023-06-30,15.81,$5.32,2.97
2023-03-31,18.52,$5.82,3.18
2022-12-31,16.45,$7.26,2.27
2022-09-30,14.07,$8.11,1.73
2022-06-30,18.8,$8.58,2.19
2022-03-31,21.21,$7.67,2.77
2021-12-31,15.09,$6.28,2.4
2021-09-30,15.11,$4.85,3.11
2021-06-30,13.95,$3.13,4.45
2021-03-31,8.79,$1.49,5.91
2020-12-31,5.29,$1.02,5.17
2020-09-30,4.12,$-1.41,0.0
2020-06-30,3.95,$-0.48,0.0
2020-03-31,3.38,$-1.95,0.0
2019-12-31,7.03,$-2.15,0.0
2019-09-30,5.97,$-3.54,0.0
2019-06-30,5.72,$-4.65,0.0
2019-03-31,3.9,$-2.42,0.0
2018-12-31,5.42,$-2.06,0.0
2018-09-30,8.56,$-0.08,0.0
2018-06-30,7.62,$-0.09,0.0
2018-03-31,6.89,$-0.34,0.0
2017-12-31,6.67,$-0.73,0.0
2017-09-30,5.75,$0.79,7.32
2017-06-30,5.82,$-0.39,0.0
2017-03-31,7.04,$1.02,6.93
2016-12-31,3.03,$-0.70,0.0
2016-09-30,2.69,$4.02,0.67
2016-06-30,1.75,$-0.18,0.0
2016-03-31,2.22,$-1.20,0.0
2015-09-30,6.07,$0.73,8.28
2015-03-31,10.75,$-4.25,0.0
2014-12-31,19.43,$1.10,17.72
2014-09-30,32.65,$-9.24,0.0
2014-06-30,38.42,$-6.49,0.0
2014-03-31,42.28,$-13.46,0.0
2015-12-31,1.79,$-8.26,0.0
2013-12-31,39.49,$9.74,4.06
2013-09-30,30.01,$6.26,4.8
2013-06-30,16.21,$13.47,1.2
2013-03-31,21.09,$14.46,1.46
2012-12-31,18.31,$17.61,1.04
2012-09-30,26.77,$97.86,0.27
2012-06-30,31.09,$42.26,0.74
2012-03-31,38.06,$53.62,0.71
2011-12-31,37.07,$53.42,0.69
2011-09-30,51.6,$18.69,2.76
2011-06-30,80.05,$95.52,0.84
2011-03-31,90.75,$102.38,0.89
2010-12-31,99.02,$107.28,0.92
2010-09-30,103.87,$70.90,1.47
2010-06-30,86.71,$70.14,1.24
2010-03-31,102.32,$66.78,1.53
2009-12-31,97.45,$81.12,1.2
