PagerDuty Price to Free Cash Flow Ratio Historical Data,PagerDuty Price to Free Cash Flow Ratio Historical Data,PagerDuty Price to Free Cash Flow Ratio Historical Data,PagerDuty Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,18.77,,18.31
2024-07-31,20.93,$1.03,20.42
2024-04-30,19.96,$0.76,26.2
2024-01-31,23.68,$0.70,33.94
2023-10-31,20.17,$0.66,30.73
2023-07-31,25.92,$0.47,55.1
2023-04-30,30.06,$0.37,81.27
2023-01-31,29.79,$0.08,396.67
2022-10-31,24.94,$-0.12,0.0
2022-07-31,25.93,$-0.07,0.0
2022-04-30,28.57,$-0.21,0.0
2022-01-31,33.02,$-0.15,0.0
2021-10-31,41.75,$-0.11,0.0
2021-07-31,40.59,$-0.07,0.0
2021-04-30,42.46,$0.10,428.89
2021-01-31,48.73,$0.07,739.45
2020-10-31,27.1,$0.02,1148.31
2020-07-31,30.48,$-0.00,0.0
2020-04-30,21.11,$0.15,140.36
2020-01-31,23.32,$-0.08,0.0
