Trinity Industries Price to Free Cash Flow Ratio Historical Data,Trinity Industries Price to Free Cash Flow Ratio Historical Data,Trinity Industries Price to Free Cash Flow Ratio Historical Data,Trinity Industries Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,35.2,,0.0
2024-06-30,29.41,$-0.78,0.0
2024-03-31,27.09,$-4.75,0.0
2023-12-31,25.58,$-4.73,0.0
2023-09-30,23.15,$-5.59,0.0
2023-06-30,24.2,$-8.72,0.0
2023-03-31,22.68,$-11.65,0.0
2022-12-31,27.28,$-11.11,0.0
2022-09-30,19.5,$-9.05,0.0
2022-06-30,21.89,$-5.81,0.0
2022-03-31,30.83,$0.43,72.53
2021-12-31,26.9,$0.79,34.25
2021-09-30,24.02,$1.06,22.64
2021-06-30,23.59,$0.42,56.71
2021-03-31,24.81,$-0.69,0.0
2020-12-31,22.81,$-0.12,0.0
2020-09-30,16.7,$-0.80,0.0
2020-06-30,18.07,$-1.21,0.0
2020-03-31,13.49,$-1.42,0.0
2019-12-31,18.43,$-6.26,0.0
2019-09-30,16.22,$-7.25,0.0
2019-06-30,16.95,$-7.61,0.0
2019-03-31,17.62,$-7.55,0.0
2018-12-31,16.6,$-4.03,0.0
2018-09-30,21.85,$-2.17,0.0
2018-06-30,20.35,$-0.38,0.0
2018-03-31,19.31,$-0.31,0.0
2017-12-31,22.09,$0.92,24.13
2017-09-30,18.74,$1.22,15.41
2017-06-30,16.39,$1.44,11.37
2017-03-31,15.46,$1.69,9.17
2016-12-31,16.1,$1.70,9.47
2016-09-30,13.96,$1.44,9.73
2016-06-30,10.66,$1.41,7.55
2016-03-31,10.46,$1.18,8.84
2015-12-31,13.64,$-0.54,0.0
2015-09-30,12.82,$1.32,9.7
2015-06-30,14.89,$0.76,19.57
2015-03-31,19.94,$-0.18,0.0
2014-12-31,15.67,$2.41,6.5
2014-09-30,26.06,$0.78,33.22
2014-06-30,24.33,$0.31,78.88
2014-03-31,20.01,$1.29,15.53
2013-12-31,15.1,$-0.43,0.0
2013-09-30,12.52,$-0.23,0.0
2013-06-30,10.57,$-0.15,0.0
2013-03-31,12.43,$0.09,135.3
2012-12-31,9.8,$0.48,20.26
2012-09-30,8.17,$-0.35,0.0
2012-06-30,6.77,$-0.16,0.0
2012-03-31,8.91,$-0.84,0.0
2011-12-31,8.1,$-1.24,0.0
2011-09-30,5.75,$-1.01,0.0
2011-06-30,9.35,$-0.83,0.0
2011-03-31,9.8,$-0.71,0.0
2010-12-31,7.09,$-0.49,0.0
2010-09-30,5.92,$0.20,29.96
2010-06-30,4.69,$0.93,5.03
2010-03-31,5.26,$2.29,2.29
2009-12-31,4.58,$2.17,2.11
