Lions Gate Entertainment Price to Free Cash Flow Ratio Historical Data,Lions Gate Entertainment Price to Free Cash Flow Ratio Historical Data,Lions Gate Entertainment Price to Free Cash Flow Ratio Historical Data,Lions Gate Entertainment Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,7.61,,10.16
2024-06-30,9.42,$0.75,12.57
2024-03-31,9.95,$1.55,6.42
2023-12-31,10.9,$1.60,6.81
2023-09-30,8.48,$1.32,6.41
2023-06-30,8.83,$-0.58,0.0
2023-03-31,11.07,$-0.72,0.0
2022-12-31,5.71,$-1.54,0.0
2022-09-30,7.43,$-2.28,0.0
2022-06-30,9.31,$-1.54,0.0
2022-03-31,16.25,$-3.10,0.0
2021-12-31,16.64,$-3.04,0.0
2021-09-30,14.19,$-2.53,0.0
2021-06-30,20.7,$-2.10,0.0
2021-03-31,14.95,$-0.16,0.0
2020-12-31,11.37,$1.40,8.12
2020-09-30,9.48,$2.61,3.64
2020-06-30,7.41,$2.89,2.57
2020-03-31,6.08,$2.68,2.27
2019-12-31,10.66,$2.65,4.02
2019-09-30,9.25,$1.55,5.97
2019-06-30,12.25,$1.44,8.53
2019-03-31,15.64,$1.80,8.71
2018-12-31,16.1,$1.03,15.58
2018-09-30,24.39,$1.27,19.16
2018-06-30,24.72,$1.77,13.94
2018-03-31,25.64,$1.54,16.59
2017-12-31,33.44,$2.16,15.5
2017-09-30,33.08,$4.53,7.3
