Globalstar Price to Free Cash Flow Ratio Historical Data,Globalstar Price to Free Cash Flow Ratio Historical Data,Globalstar Price to Free Cash Flow Ratio Historical Data,Globalstar Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,1.21,,25.05
2024-06-30,1.12,$0.05,23.19
2024-03-31,1.47,$0.04,36.84
2023-12-31,1.94,$0.04,52.86
2023-09-30,1.31,$0.05,25.59
2023-06-30,1.08,$0.04,24.71
2023-03-31,1.16,$0.04,28.57
2022-12-31,1.33,$0.03,42.22
2022-09-30,1.59,$0.03,50.8
2022-06-30,1.23,$0.05,23.34
2022-03-31,1.47,$0.07,20.19
2021-12-31,1.16,$0.07,16.27
2021-09-30,1.67,$0.06,29.87
2021-06-30,1.78,$0.04,48.77
2021-03-31,1.35,$0.01,133.66
2020-12-31,0.34,$0.01,32.56
2020-09-30,0.31,$0.01,0.0
2020-06-30,0.33,$0.00,0.0
2020-03-31,0.29,$0.00,0.0
2019-12-31,0.52,$-0.00,0.0
2019-09-30,0.41,$-0.01,0.0
2019-06-30,0.48,$-0.01,0.0
2019-03-31,0.43,$-0.01,0.0
2018-12-31,0.64,$-0.00,0.0
2018-09-30,0.51,$0.01,0.0
2018-06-30,0.49,$0.01,0.0
2018-03-31,0.69,$0.01,0.0
2017-12-31,1.31,$0.01,0.0
2017-09-30,1.63,$0.01,0.0
2017-06-30,2.13,$0.01,0.0
2017-03-31,1.6,$0.00,0.0
2016-12-31,1.58,$-0.00,0.0
2016-09-30,1.21,$-0.01,0.0
2016-06-30,1.21,$-0.00,0.0
2016-03-31,1.47,$-0.00,0.0
2015-12-31,1.44,$-0.00,0.0
2015-09-30,1.57,$-0.00,0.0
2015-06-30,2.11,$-0.00,0.0
2015-03-31,3.33,$0.00,0.0
