Camping World Price to Free Cash Flow Ratio Historical Data,Camping World Price to Free Cash Flow Ratio Historical Data,Camping World Price to Free Cash Flow Ratio Historical Data,Camping World Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,23.61,,0.0
2024-06-30,17.76,$-0.54,0.0
2024-03-31,27.52,$-1.10,0.0
2023-12-31,25.83,$1.84,14.02
2023-09-30,19.98,$-4.07,0.0
2023-06-30,29.29,$1.40,20.89
2023-03-31,19.88,$7.68,2.59
2022-12-31,20.64,$-0.28,0.0
2022-09-30,22.83,$-1.29,0.0
2022-06-30,19.07,$-6.47,0.0
2022-03-31,24.1,$-7.41,0.0
2021-12-31,34.12,$-0.98,0.0
2021-09-30,32.41,$3.46,9.37
2021-06-30,33.75,$18.92,1.78
2021-03-31,29.76,$18.01,1.65
2020-12-31,21.19,$16.80,1.26
2020-09-30,23.34,$20.15,1.16
2020-06-30,21.21,$10.19,2.08
2020-03-31,4.41,$6.65,0.66
2019-12-31,11.18,$5.24,2.13
2019-09-30,6.67,$5.59,1.19
2019-06-30,9.16,$1.50,6.09
2019-03-31,10.14,$0.65,15.68
2018-12-31,8.26,$-0.64,0.0
2018-09-30,15.2,$-6.11,0.0
2018-06-30,17.66,$-7.61,0.0
2018-03-31,22.66,$-6.38,0.0
2017-12-31,31.29,$-3.39,0.0
2017-09-30,28.32,$3.97,7.14
