Ambarella Price to Free Cash Flow Ratio Historical Data,Ambarella Price to Free Cash Flow Ratio Historical Data,Ambarella Price to Free Cash Flow Ratio Historical Data,Ambarella Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,57.49,,0.0
2024-07-31,52.64,$-0.06,0.0
2024-04-30,45.97,$-0.72,0.0
2024-01-31,52.56,$0.18,297.45
2023-10-31,44.99,$0.41,110.16
2023-07-31,83.42,$0.29,283.36
2023-04-30,61.98,$0.49,125.67
2023-01-31,89.84,$0.76,118.68
2022-10-31,54.73,$1.16,47.08
2022-07-31,86.55,$1.28,67.68
2022-04-30,82.08,$1.74,47.12
2022-01-31,140.15,$0.80,176.07
2021-10-31,185.83,$0.57,325.73
2021-07-31,98.49,$0.78,125.98
2021-04-30,97.49,$0.35,276.1
2021-01-31,94.36,$0.75,126.56
2020-10-31,54.67,$0.60,90.86
2020-07-31,45.28,$0.89,50.92
2020-04-30,52.58,$1.20,43.83
2020-01-31,59.14,$1.14,52.05
2019-10-31,52.63,$1.42,37.0
2019-07-31,49.95,$0.89,56.31
2019-04-30,50.12,$0.82,60.77
2019-01-31,38.0,$0.66,57.73
2018-10-31,34.78,$0.93,37.39
2018-07-31,39.18,$1.59,24.59
2018-04-30,46.59,$1.71,27.27
2018-01-31,50.4,$2.36,21.33
2017-10-31,56.44,$2.62,21.5
2017-07-31,50.05,$3.70,13.53
2017-04-30,56.22,$3.86,14.57
2017-01-31,49.61,$4.11,12.08
2016-10-31,61.37,$4.21,14.57
2016-04-30,41.1,$3.31,12.4
2016-01-31,39.68,$3.60,11.03
2015-10-31,49.44,$3.97,12.44
2015-07-31,115.87,$3.25,35.69
2015-04-30,73.15,$2.68,27.31
2015-01-31,55.31,$2.17,25.51
2014-04-30,24.85,$1.31,19.0
2014-01-31,32.03,$1.08,29.59
2013-10-31,20.55,$0.71,29.02
2013-07-31,16.6,$0.02,897.3
2013-04-30,13.7,$0.12,114.55
2013-01-31,9.96,$-0.49,0.0
2012-10-31,7.22,$0.60,12.03
