Kymera Therapeutics Price to Free Cash Flow Ratio Historical Data,Kymera Therapeutics Price to Free Cash Flow Ratio Historical Data,Kymera Therapeutics Price to Free Cash Flow Ratio Historical Data,Kymera Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,46.25,,0.0
2024-06-30,29.85,$-2.04,0.0
2024-03-31,40.2,$-2.19,0.0
2023-12-31,25.46,$-2.35,0.0
2023-09-30,13.9,$-3.05,0.0
2023-06-30,22.99,$-2.95,0.0
2023-03-31,29.63,$-2.93,0.0
2022-12-31,24.96,$-2.89,0.0
2022-09-30,21.77,$-3.04,0.0
2022-06-30,19.69,$-3.07,0.0
2022-03-31,42.32,$-3.00,0.0
2021-12-31,63.49,$-2.72,0.0
2021-09-30,58.74,$-2.11,0.0
2021-06-30,48.5,$3.36,14.46
