Calix Price to Free Cash Flow Ratio Historical Data,Calix Price to Free Cash Flow Ratio Historical Data,Calix Price to Free Cash Flow Ratio Historical Data,Calix Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,39.9,,53.3
2024-06-30,35.43,$0.75,47.33
2024-03-31,33.16,$0.67,49.86
2023-12-31,43.69,$0.55,78.88
2023-09-30,45.84,$0.41,110.75
2023-06-30,49.91,$0.29,173.48
2023-03-31,53.59,$0.18,297.72
2022-12-31,68.43,$0.19,359.59
2022-09-30,61.14,$0.31,197.1
2022-06-30,34.14,$0.37,91.68
2022-03-31,42.91,$0.63,68.18
2021-12-31,79.97,$0.68,117.12
2021-09-30,49.43,$1.01,49.18
2021-06-30,47.5,$1.15,41.39
2021-03-31,34.66,$0.83,41.99
2020-12-31,29.76,$0.70,42.33
2020-09-30,17.78,$0.23,76.08
2020-06-30,14.9,$0.07,224.4
2020-03-31,7.08,$-0.07,0.0
2019-12-31,8.0,$-0.16,0.0
2019-09-30,6.39,$-0.27,0.0
2019-06-30,6.56,$-0.26,0.0
2019-03-31,7.7,$-0.08,0.0
2018-12-31,9.75,$-0.13,0.0
2018-09-30,8.1,$-0.71,0.0
2018-06-30,7.8,$-1.00,0.0
2018-03-31,6.85,$-1.04,0.0
2017-12-31,5.95,$-1.41,0.0
2017-09-30,5.05,$-0.40,0.0
2017-06-30,6.85,$-0.27,0.0
2017-03-31,7.25,$-0.30,0.0
2016-12-31,7.7,$0.30,25.74
2016-09-30,7.35,$-0.11,0.0
2016-06-30,6.91,$0.00,0.0
2016-03-31,7.09,$0.10,73.09
2015-12-31,7.87,$-0.25,0.0
2015-09-30,7.79,$0.28,28.05
2015-06-30,7.61,$0.41,18.48
2015-03-31,8.39,$0.39,21.39
2014-12-31,10.02,$0.51,19.49
2014-09-30,9.57,$0.17,55.93
2014-06-30,8.18,$0.54,15.15
2014-03-31,8.43,$0.54,15.53
2013-12-31,9.64,$0.70,13.82
2013-09-30,12.73,$0.73,17.45
2013-03-31,8.15,$0.19,42.36
2012-12-31,7.69,$0.36,21.17
2012-09-30,6.4,$0.46,14.01
2012-06-30,8.22,$0.48,17.03
2012-03-31,8.53,$0.35,24.05
2011-12-31,6.47,$0.16,40.74
2011-09-30,7.8,$0.05,148.01
2011-06-30,20.82,$0.13,166.16
2011-03-31,20.31,$-0.66,0.0
2010-12-31,16.9,$0.12,141.3
2010-09-30,14.36,$0.52,27.36
