McGrath RentCorp Price to Free Cash Flow Ratio Historical Data,McGrath RentCorp Price to Free Cash Flow Ratio Historical Data,McGrath RentCorp Price to Free Cash Flow Ratio Historical Data,McGrath RentCorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,107.81,,0.0
2024-06-30,105.63,$-2.33,0.0
2024-03-31,121.79,$-3.44,0.0
2023-12-31,117.59,$-4.18,0.0
2023-09-30,98.1,$-0.10,0.0
2023-06-30,90.05,$0.41,219.2
2023-03-31,90.39,$0.37,241.82
2022-12-31,95.22,$2.57,37.06
2022-09-30,80.43,$3.93,20.49
2022-06-30,72.46,$3.56,20.38
2022-03-31,80.58,$5.07,15.88
2021-12-31,75.69,$5.56,13.62
2021-09-30,67.47,$5.04,13.38
2021-06-30,76.06,$5.46,13.93
2021-03-31,74.8,$5.68,13.18
2020-12-31,61.88,$5.20,11.9
2020-09-30,54.6,$4.46,12.25
2020-06-30,49.11,$3.75,13.09
2020-03-31,47.25,$2.08,22.76
2019-12-31,68.72,$2.14,32.13
2019-09-30,62.13,$2.02,30.79
2019-06-30,55.17,$2.18,25.35
2019-03-31,49.9,$2.14,23.31
2018-12-31,45.1,$1.86,24.21
2018-09-30,47.41,$2.36,20.1
2018-06-30,54.76,$2.04,26.82
2018-03-31,46.18,$2.22,20.81
2017-12-31,40.2,$2.12,18.93
2017-09-30,37.22,$2.05,18.17
2017-06-30,29.24,$2.47,11.86
2017-03-31,28.13,$2.84,9.92
2016-12-31,32.62,$3.36,9.71
2016-09-30,26.17,$3.18,8.23
2016-06-30,25.05,$2.48,10.1
2016-03-31,20.34,$1.81,11.27
2015-12-31,20.21,$1.18,17.08
2015-09-30,21.22,$0.47,44.74
2015-06-30,23.98,$-0.16,0.0
2015-03-31,25.75,$-0.35,0.0
2014-12-31,27.85,$-0.26,0.0
2014-09-30,26.38,$-0.50,0.0
2014-06-30,28.16,$-0.02,0.0
2014-03-31,26.59,$0.39,68.29
2013-12-31,30.08,$0.87,34.75
2013-09-30,26.79,$1.59,16.81
2013-06-30,25.46,$1.42,17.9
2013-03-31,22.99,$1.09,21.05
2012-12-31,21.34,$0.45,47.14
2012-09-30,18.96,$-0.41,0.0
2012-06-30,19.09,$-0.90,0.0
2012-03-31,22.95,$-0.59,0.0
2011-12-31,20.56,$-0.58,0.0
2011-09-30,16.72,$-0.10,0.0
2011-06-30,19.58,$0.25,76.96
2011-03-31,18.85,$-0.32,0.0
2010-12-31,17.97,$-0.23,0.0
2010-09-30,16.27,$0.32,50.88
2010-06-30,15.32,$1.00,15.36
2010-03-31,16.16,$2.94,5.5
2009-12-31,14.77,$3.31,4.46
