SJW Group Price to Free Cash Flow Ratio Historical Data,SJW Group Price to Free Cash Flow Ratio Historical Data,SJW Group Price to Free Cash Flow Ratio Historical Data,SJW Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,59.55,,0.0
2024-06-30,53.85,$-2.00,0.0
2023-12-31,64.01,$-3.85,0.0
2023-09-30,58.54,$-3.35,0.0
2023-06-30,67.9,$-3.35,0.0
2023-03-31,73.37,$-3.19,0.0
2022-12-31,77.88,$-3.97,0.0
2024-03-31,55.8,$-2.29,0.0
2022-09-30,54.97,$-2.46,0.0
2022-06-30,59.23,$-3.26,0.0
2022-03-31,65.63,$-2.97,0.0
2021-12-31,68.67,$-3.48,0.0
2021-09-30,61.68,$-3.99,0.0
2021-06-30,58.82,$-3.37,0.0
2021-03-31,58.22,$-3.18,0.0
2020-12-31,63.79,$-3.75,0.0
2020-09-30,55.68,$-3.34,0.0
2020-06-30,56.57,$-2.57,0.0
2020-03-31,52.33,$-2.57,0.0
2019-12-31,64.09,$-1.65,0.0
2019-09-30,61.32,$-1.74,0.0
2019-06-30,54.32,$-2.25,0.0
2019-03-31,55.18,$-2.38,0.0
2018-12-31,49.47,$-2.49,0.0
2018-09-30,54.13,$-2.89,0.0
2018-06-30,58.37,$-2.87,0.0
2018-03-31,46.25,$-1.35,0.0
2017-12-31,55.71,$-0.78,0.0
2017-09-30,49.1,$-0.35,0.0
2017-06-30,42.5,$-0.37,0.0
2016-12-31,47.94,$-1.34,0.0
2016-09-30,37.26,$-2.00,0.0
2016-06-30,33.42,$-0.99,0.0
2016-03-31,30.66,$-0.89,0.0
2015-12-31,24.86,$-0.42,0.0
2015-09-30,25.61,$-0.17,0.0
2015-06-30,25.39,$-0.36,0.0
2015-03-31,25.41,$-0.78,0.0
2014-12-31,26.25,$-1.76,0.0
2014-09-30,21.83,$-2.09,0.0
2014-06-30,21.94,$-2.25,0.0
2014-03-31,23.67,$-1.79,0.0
2013-12-31,23.7,$-1.55,0.0
2013-09-30,22.15,$-1.91,0.0
2013-06-30,20.58,$-1.74,0.0
2013-03-31,20.66,$-1.78,0.0
2012-12-31,20.6,$-1.67,0.0
2012-09-30,19.5,$-1.09,0.0
2012-06-30,18.32,$-0.82,0.0
2012-03-31,18.26,$-0.48,0.0
2011-12-31,17.76,$-0.24,0.0
2011-09-30,16.25,$0.01,0.0
2017-03-31,41.48,$-1.28,0.0
2011-06-30,17.96,$-2.40,0.0
2011-03-31,17.02,$-3.27,0.0
2010-12-31,19.33,$-2.97,0.0
2010-09-30,17.86,$-1.94,0.0
2010-06-30,16.88,$-0.81,0.0
2009-12-31,16.02,$-0.15,0.0
2009-09-30,16.09,$-0.67,0.0
