Baker Hughes Price to Free Cash Flow Ratio Historical Data,Baker Hughes Price to Free Cash Flow Ratio Historical Data,Baker Hughes Price to Free Cash Flow Ratio Historical Data,Baker Hughes Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,35.17,,19.37
2024-06-30,34.96,$1.82,19.26
2024-03-31,33.08,$2.32,14.24
2023-12-31,33.51,$2.02,16.62
2023-09-30,34.43,$2.06,16.69
2023-06-30,30.64,$1.90,16.16
2023-03-31,27.79,$1.44,19.36
2022-12-31,28.26,$1.13,25.0
2022-09-30,19.93,$1.29,15.41
2022-06-30,27.25,$1.17,23.27
2022-03-31,34.2,$1.44,23.74
2021-12-31,22.45,$2.22,10.09
2021-09-30,22.91,$1.76,13.04
2021-06-30,21.01,$1.53,13.7
2021-03-31,19.71,$1.20,16.36
2020-12-31,18.87,$0.77,24.64
2020-09-30,11.89,$2.28,5.21
2020-06-30,13.62,$2.52,5.41
2020-03-31,9.18,$3.11,2.95
2019-12-31,22.23,$2.06,10.77
2019-09-30,19.96,$2.19,9.12
2019-06-30,21.03,$2.24,9.38
2019-03-31,23.49,$1.51,15.55
2018-12-31,18.08,$2.86,6.33
2018-09-30,28.23,$-0.02,0.0
2018-06-30,27.42,$-1.29,0.0
2018-03-31,22.94,$-2.49,0.0
2017-12-31,25.99,$-1.85,0.0
2017-09-30,29.91,$-10.07,0.0
2017-06-30,30.14,$-1.01,0.0
2016-12-31,35.92,$0.00,0.0
2016-09-30,27.91,$-2.96,0.0
2016-06-30,24.95,$4.26,5.86
2016-03-31,24.23,$-1.97,0.0
2015-12-31,25.52,$-0.08,0.0
2015-09-30,28.77,$1.87,15.43
2014-12-31,31.0,$3.64,8.51
2014-09-30,35.97,$4.19,8.58
2014-06-30,41.17,$1.55,26.59
2014-03-31,35.95,$2.87,12.52
2013-12-31,30.55,$3.47,8.8
2015-06-30,34.12,$0.99,34.35
2013-09-30,27.08,$2.58,10.5
2013-06-30,25.36,$1.47,17.21
2013-03-31,25.43,$-0.11,0.0
2012-12-31,22.31,$-1.56,0.0
2012-09-30,24.62,$-1.96,0.0
2012-06-30,22.3,$-2.90,0.0
2012-03-31,22.67,$-2.30,0.0
2011-12-31,26.22,$-1.47,0.0
2011-09-30,24.81,$-2.10,0.0
2011-06-30,38.92,$-1.45,0.0
2011-03-31,39.3,$-1.27,0.0
2010-12-31,30.53,$-1.08,0.0
2010-09-30,22.68,$-0.35,0.0
2010-06-30,22.06,$0.21,106.62
2010-03-31,24.77,$1.21,20.41
2009-12-31,21.34,$1.02,21.0
2009-09-30,22.41,$0.73,30.71
2009-06-30,19.08,$0.13,149.37
