WisdomTree Price to Free Cash Flow Ratio Historical Data,WisdomTree Price to Free Cash Flow Ratio Historical Data,WisdomTree Price to Free Cash Flow Ratio Historical Data,WisdomTree Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,10.33,,18.73
2024-06-30,9.88,$0.55,17.91
2024-03-31,9.13,$0.51,17.81
2023-12-31,6.86,$0.49,14.02
2023-09-30,6.89,$0.35,19.82
2023-06-30,6.72,$0.41,16.41
2023-03-31,5.72,$0.33,17.3
2022-12-31,5.29,$0.35,15.33
2022-09-30,4.52,$0.42,10.71
2022-06-30,4.87,$0.38,12.72
2022-03-31,5.6,$0.43,12.96
2021-12-31,5.81,$0.47,12.49
2021-09-30,5.36,$0.41,13.13
2021-06-30,5.83,$0.32,18.1
2021-03-31,5.85,$0.35,16.97
2020-12-31,4.99,$0.31,15.88
2020-09-30,2.96,$0.34,8.72
2020-06-30,3.19,$0.41,7.72
2020-03-31,2.12,$0.12,16.99
2019-12-31,4.37,$0.20,22.14
2019-09-30,4.69,$0.20,23.15
2019-06-30,5.51,$0.13,43.27
2018-12-31,5.88,$0.24,24.92
2018-09-30,7.47,$0.49,15.3
2018-06-30,7.97,$0.41,19.47
2018-03-31,8.03,$0.42,19.13
2017-12-31,10.96,$0.56,19.41
2019-03-31,6.28,$0.27,22.92
2017-09-30,8.83,$0.30,29.07
2017-06-30,8.75,$0.31,27.97
2017-03-31,7.74,$0.37,21.12
2016-12-31,9.41,$0.40,23.7
2016-09-30,8.61,$0.63,13.6
2016-06-30,8.13,$0.84,9.72
2016-03-31,9.42,$1.02,9.22
2015-12-31,12.83,$1.10,11.68
2015-09-30,12.99,$0.97,13.39
2015-06-30,17.63,$0.82,21.39
2015-03-31,17.16,$0.64,26.74
2014-12-31,12.48,$0.56,22.24
2014-09-30,9.01,$0.50,17.99
2014-06-30,9.79,$0.46,21.34
2014-03-31,10.39,$0.43,24.37
2013-12-31,14.03,$0.46,30.69
2013-09-30,9.19,$0.36,25.56
2013-06-30,9.17,$0.23,40.39
2013-03-31,8.24,$0.13,61.39
2012-12-31,4.85,$0.08,60.6
2012-09-30,5.31,$0.08,62.81
2012-06-30,5.2,$0.13,38.78
2012-03-31,6.63,$0.12,57.41
2011-12-31,4.79,$0.10,47.83
2011-09-30,5.56,$0.07,82.75
2011-06-30,5.02,$0.02,251.12
