Kraft Heinz Price to Free Cash Flow Ratio Historical Data,Kraft Heinz Price to Free Cash Flow Ratio Historical Data,Kraft Heinz Price to Free Cash Flow Ratio Historical Data,Kraft Heinz Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,35.43,,14.21
2024-06-30,31.86,$2.49,12.78
2024-03-31,36.07,$1.53,23.5
2023-12-31,35.73,$1.68,21.3
2023-09-30,32.14,$1.21,26.51
2023-06-30,33.51,$0.67,50.35
2022-12-31,37.63,$1.26,29.93
2022-09-30,30.52,$4.15,7.35
2022-06-30,34.54,$3.89,8.87
2022-03-31,35.29,$3.96,8.92
2021-12-31,31.83,$4.59,6.94
2023-03-31,36.13,$1.63,22.16
2021-09-30,32.27,$2.60,12.43
2021-06-30,35.35,$3.23,10.93
2021-03-31,34.36,$3.94,8.73
2020-12-31,29.47,$3.53,8.35
2020-09-30,25.15,$1.97,12.75
2020-06-30,26.48,$2.63,10.05
2020-03-31,20.27,$2.30,8.83
2019-12-31,25.82,$2.27,11.35
2019-09-30,22.16,$3.90,5.68
2019-06-30,24.24,$2.87,8.44
2019-03-31,25.13,$1.34,18.71
2018-12-31,32.71,$1.45,22.58
2018-09-30,41.39,$0.44,94.26
2018-06-30,46.69,$-0.04,0.0
2018-03-31,45.81,$0.39,118.61
2017-12-31,56.65,$-0.56,0.0
2017-09-30,56.06,$0.22,249.93
2017-06-30,61.46,$-0.86,0.0
2017-03-31,64.74,$0.37,175.07
2016-12-31,61.85,$1.14,54.12
2016-09-30,62.94,$0.61,103.55
2016-06-30,61.79,$2.09,29.57
