UPS Price to Free Cash Flow Ratio Historical Data,UPS Price to Free Cash Flow Ratio Historical Data,UPS Price to Free Cash Flow Ratio Historical Data,UPS Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,128.55,,22.84
2024-06-30,135.14,$5.63,24.01
2024-03-31,145.17,$6.79,21.38
2023-12-31,151.9,$6.14,24.75
2023-09-30,148.84,$6.65,22.37
2023-06-30,169.61,$7.28,23.3
2023-03-31,181.81,$8.28,21.95
2022-12-31,161.5,$10.73,15.05
2022-09-30,148.76,$11.70,12.71
2022-06-30,166.86,$12.55,13.29
2022-03-31,194.38,$13.61,14.28
2021-12-31,192.87,$13.37,14.43
2021-09-30,163.06,$10.32,15.8
2021-06-30,185.25,$10.08,18.38
2021-03-31,150.69,$8.21,18.35
2020-12-31,148.34,$5.84,25.4
2020-09-30,145.88,$8.01,18.21
2020-06-30,96.72,$5.59,17.31
2020-03-31,80.43,$3.65,22.01
2019-12-31,99.76,$2.67,37.3
2019-09-30,101.32,$3.34,30.33
2019-06-30,86.61,$3.92,22.08
2019-03-31,92.82,$5.38,17.24
2018-12-31,80.32,$7.43,10.81
2018-09-30,95.36,$0.63,152.08
2018-06-30,86.12,$0.09,915.2
2018-03-31,84.18,$-0.54,0.0
2017-12-31,95.03,$-4.26,0.0
2017-09-30,95.08,$0.80,119.06
2017-06-30,86.91,$0.57,153.74
2017-03-31,83.65,$0.76,110.2
2016-12-31,88.69,$4.05,21.88
2016-09-30,84.02,$4.40,19.09
2016-06-30,82.18,$6.19,13.29
2016-03-31,79.85,$5.50,14.52
2015-12-31,72.28,$5.60,12.9
2015-09-30,73.6,$6.02,12.23
2015-06-30,71.76,$6.25,11.49
2015-03-31,71.27,$4.24,16.81
2014-12-31,81.14,$3.73,21.73
2014-09-30,71.3,$4.89,14.58
2014-06-30,73.95,$4.16,17.79
2014-03-31,69.69,$6.38,10.93
2013-12-31,74.67,$5.64,13.25
2013-09-30,64.53,$5.41,11.93
2013-06-30,60.64,$4.89,12.4
2013-03-31,59.82,$4.77,12.54
2012-12-31,50.96,$5.32,9.57
2012-09-30,49.07,$4.93,9.96
2012-06-30,53.6,$5.77,9.29
2012-03-31,54.53,$6.18,8.83
2011-12-31,49.08,$5.14,9.55
2011-09-30,42.03,$3.43,12.24
2011-06-30,48.13,$2.75,17.5
2011-03-31,48.71,$2.35,20.74
2010-12-31,47.24,$2.74,17.23
2010-09-30,43.11,$3.85,11.21
2010-06-30,36.51,$3.62,10.09
2010-03-31,41.05,$3.18,12.89
2009-12-31,36.26,$3.73,9.73
