Elme Communities Price to Free Cash Flow Ratio Historical Data,Elme Communities Price to Free Cash Flow Ratio Historical Data,Elme Communities Price to Free Cash Flow Ratio Historical Data,Elme Communities Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,16.99,,35.24
2024-06-30,15.77,$0.48,32.71
2024-03-31,13.62,$0.54,25.44
2023-12-31,14.09,$0.52,26.85
2023-09-30,13.0,$0.49,26.51
2023-06-30,15.48,$0.56,27.64
2023-03-31,16.63,$0.47,35.61
2022-12-31,16.4,$0.40,41.0
2022-09-30,16.03,$0.46,35.18
2022-06-30,19.28,$10.90,1.77
2022-03-31,22.89,$10.95,2.09
2021-12-31,23.05,$11.29,2.04
2021-09-30,21.92,$12.47,1.76
2021-06-30,20.23,$2.16,9.35
2021-03-31,19.18,$2.70,7.12
2020-12-31,18.54,$2.52,7.36
2020-09-30,17.01,$2.77,6.14
2020-06-30,18.49,$9.65,1.92
2020-03-31,19.61,$9.53,2.06
2019-12-31,23.66,$9.57,2.47
2019-09-30,21.96,$8.15,2.7
2019-06-30,21.22,$1.18,17.94
2019-03-31,22.29,$2.05,10.89
2018-12-31,17.87,$3.16,5.66
2018-09-30,23.53,$3.60,6.54
2018-06-30,23.06,$3.64,6.33
2018-03-31,20.54,$2.38,8.64
2017-12-31,23.16,$1.26,18.33
2017-09-30,24.15,$0.94,25.57
2017-06-30,23.3,$2.38,9.8
2017-03-31,22.64,$4.00,5.66
2016-12-31,23.43,$4.15,5.64
2016-09-30,22.1,$5.36,4.12
2016-06-30,22.12,$4.09,5.41
2016-03-31,20.33,$2.39,8.5
2015-12-31,18.63,$2.97,6.28
2015-09-30,16.98,$1.57,10.82
2015-06-30,17.46,$1.36,12.84
2015-03-31,18.36,$1.16,15.78
2014-12-31,18.18,$3.21,5.67
2014-09-30,16.5,$7.70,2.14
2014-06-30,16.71,$7.79,2.15
2014-03-31,15.18,$7.97,1.91
2013-12-31,14.67,$5.57,2.63
2013-09-30,15.66,$1.52,10.27
2013-06-30,16.47,$1.65,10.01
2013-03-31,16.85,$1.78,9.45
2012-12-31,15.65,$1.53,10.23
2012-09-30,15.87,$3.01,5.27
2012-06-30,16.66,$6.42,2.59
2012-03-31,17.12,$7.31,2.34
2011-12-31,15.54,$7.37,2.11
2011-09-30,15.75,$6.51,2.42
2011-06-30,17.92,$2.95,6.08
2011-03-31,16.9,$2.55,6.62
2010-12-31,16.6,$2.54,6.53
2010-09-30,16.76,$1.79,9.36
2010-06-30,14.37,$1.97,7.28
2010-03-31,15.67,$1.84,8.54
2009-12-31,13.93,$1.97,7.08
